repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
6,1,1,19|6|8|15|13|13|12|11|13|9|15|3|15|15|5|8|15|10|11,0,64,38,184.530931360926,82.6962825655937
6,1,2,17|6|13|7|9|7|12|12|15|14|9|11|6|5|7|8|10|9|11,0,33,62,184.77477119969,82.6962825655937
6,1,3,19|10|7|7|5|12|12|13|7|13|14|9|15|13|3|7|8|11|10,0,51,40,184.877348302932,82.6962825655937
6,1,4,18|16|17|7|8|11|5|17|5|19|10|4|17|2|9|3|9|9|7,0,41,54,185.755375313081,82.6962825655937
6,1,5,20|4|16|20|16|3|12|14|8|15|19|6|12|17|19|6|5|7|11,0,74,25,185.990617740381,82.6962825655937
6,1,6,18|12|11|18|11|12|10|9|11|12|10|9|10|7|8|8|11|6|10,0,45,52,186.568064981371,82.6962825655937
6,1,7,18|7|6|3|4|14|10|10|12|15|11|12|9|7|9|2|5|11|16,0,40,77,186.991176844967,82.6962825655937
6,1,8,18|5|16|14|8|12|17|10|13|14|8|8|14|12|12|14|10|8|7,0,53,38,187.20565341287,82.6962825655937
6,1,9,17|9|10|12|5|15|16|13|7|13|10|5|15|9|8|7|14|7|15,0,44,63,187.320812128082,82.6962825655937
6,1,10,19|14|11|14|19|7|17|11|5|16|7|14|10|7|17|2|20|3|11,0,19,57,188.742851708238,82.6962825655937
20,1,1,19|13|4|16|10|12|16|10|13|13|14|12|13|5|5|15|16|11|7,0,57,47,185.706260981506,85.0746225317319
20,1,2,19|14|8|10|6|16|16|13|10|13|9|5|16|10|8|12|17|5|8,0,48,38,186.206798369222,85.0746225317319
20,1,3,19|5|4|2|14|16|20|3|10|18|3|9|12|19|3|17|18|12|16,0,52,37,186.550365105344,85.0746225317319
20,1,4,20|4|16|20|16|3|12|14|8|15|19|6|12|17|19|6|5|7|11,0,74,25,186.866062068442,85.0746225317319
20,1,5,18|16|17|7|8|11|5|17|5|19|10|4|17|2|9|3|9|9|7,0,41,54,187.277287816095,85.0746225317319
20,1,6,18|7|6|3|4|14|10|10|12|15|11|12|9|7|9|2|5|11|16,0,40,77,187.675568467769,85.0746225317319
20,1,7,16|5|2|20|2|8|13|7|4|5|20|3|3|6|4|2|4|13|13,0,50,66,187.805562029969,85.0746225317319
20,1,8,17|7|10|11|6|7|10|11|10|7|14|9|12|4|8|6|10|8|12,0,40,62,188.008681559309,85.0746225317319
20,1,9,19|8|14|14|13|12|14|6|10|19|10|10|10|12|6|8|9|8|11,0,49,48,188.076338924535,85.0746225317319
20,1,10,18|11|16|20|10|9|7|13|6|13|16|7|13|5|4|5|7|9|11,0,49,68,188.142394389244,85.0746225317319
2,1,1,19|7|10|18|5|14|17|11|9|13|15|4|12|10|13|14|10|12|15,0,67,36,190.600949150114,92.9585232814153
2,1,2,20|4|16|20|16|3|12|14|8|15|19|6|12|17|19|6|5|7|11,0,74,25,191.574367384399,92.9585232814153
2,1,3,19|8|14|10|10|15|16|8|17|12|9|14|17|13|5|17|16|12|10,0,44,34,193.453085449789,92.9585232814153
2,1,4,20|11|7|16|15|14|12|12|14|10|12|10|10|6|6|14|11|7|8,0,62,33,193.664093151134,92.9585232814153
2,1,5,18|16|17|7|8|11|5|17|5|19|10|4|17|2|9|3|9|9|7,0,41,54,194.076664722369,92.9585232814153
2,1,6,19|7|10|16|7|11|14|10|10|11|10|8|15|10|7|10|13|10|8,0,49,53,195.323958681198,92.9585232814153
2,1,7,18|7|6|3|4|14|10|10|12|15|11|12|9|7|9|2|5|11|16,0,40,77,195.90029231112,92.9585232814153
