repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
1,1,1,18|12|5|9|17|2|16|18|13|5|13|4|10|14|8|3|9|17|11,2,62,53,TRUE,0.406031034067739,0.243098219053663,0.192398617546678,100.959058368706,595.644219815731
1,1,2,18|13|9|7|13|11|13|12|9|5|13|14|16|7|2|14|11|17|14,0,49,58,TRUE,0.133796718105889,0.212764869495116,0.337855894620924,101.118079107152,595.644219815731
1,1,3,19|20|10|20|13|13|16|13|19|11|10|13|8|3|12|15|18|3|11,2,75,70,TRUE,0.17092132717371,0.486665897065989,0.212947571462987,101.17923585305,595.644219815731
1,1,4,10|8|20|3|10|20|8|18|8|2|2|7|9|16|16|8|15|13|18,2,79,41,TRUE,0.328787251147262,0.296463201029334,0.106621319248986,101.252989868804,595.644219815731
1,1,5,16|19|9|17|7|16|17|4|4|15|16|7|2|5|16|10|20|19|14,0,65,57,TRUE,0.284409088554541,0.154338432061307,0.225059019819869,101.758765355776,595.644219815731
1,1,6,16|18|7|8|9|11|5|20|7|11|15|8|11|11|15|10|14|9|3,0,40,68,TRUE,0.237410598284959,0.226527751720725,0.117312786688742,101.776837353883,595.644219815731
1,1,7,18|6|7|10|7|9|8|3|14|2|3|5|19|19|14|5|13|20|11,0,43,40,TRUE,0.427630970525878,0.159884963150566,0.368441849141024,101.934424054887,595.644219815731
1,1,8,4|7|15|20|8|4|18|16|13|18|9|13|17|5|17|8|7|16|16,2,47,34,TRUE,0.201210143692039,0.141108252143917,0.221784806970614,101.969182646569,595.644219815731
1,1,9,14|15|9|20|16|9|15|4|12|14|8|8|19|17|4|4|14|8|19,0,19,45,TRUE,0.297853407972994,0.239212716765738,0.167892584818093,102.41039768423,595.644219815731
1,1,10,20|11|6|2|13|15|13|6|3|17|3|5|14|16|2|3|19|15|20,0,64,33,TRUE,0.34312273814128,0.372163924895442,0.445442207377906,102.498525818472,595.644219815731
4,1,1,10|8|20|3|10|20|8|18|8|2|2|7|9|16|16|8|15|13|18,2,79,41,TRUE,0.328787251147262,0.296463201029334,0.106621319248986,100.62277390048,631.881317102909
4,1,2,19|20|10|20|13|13|16|13|19|11|10|13|8|3|12|15|18|3|11,2,75,70,TRUE,0.17092132717371,0.486665897065989,0.212947571462987,100.837238611339,631.881317102909
4,1,3,16|19|9|17|7|16|17|4|4|15|16|7|2|5|16|10|20|19|14,0,65,57,TRUE,0.284409088554541,0.154338432061307,0.225059019819869,101.448040201237,631.881317102909
4,1,4,18|13|9|7|13|11|13|12|9|5|13|14|16|7|2|14|11|17|14,0,49,58,TRUE,0.133796718105889,0.212764869495116,0.337855894620924,101.490873203221,631.881317102909
4,1,5,3|7|4|7|13|14|12|12|19|9|16|4|12|7|12|14|13|7|16,2,69,49,TRUE,0.196082352386388,0.178225370484687,0.101193429796514,101.723616563368,631.881317102909
