repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
6,1,1,20|7|13|3|20|18|19|19|2|2|14|19|8|2|13|4|11|16|3|5|17|19|5|11|7|9|19|6|12,0,35,37,181.634972400461,109.578659502665
6,1,2,15|11|16|13|11|8|13|19|19|9|4|9|18|15|12|8|13|6|13|8|17|17|18|13|12|10|18|18|11,0,50,60,183.741029125765,109.578659502665
6,1,3,20|12|3|17|8|11|17|2|20|20|10|7|16|7|2|12|16|9|10|9|16|20|11|12|19|17|15|7|20,0,36,61,184.572678187971,109.578659502665
6,1,4,17|3|12|10|3|13|11|16|14|20|17|7|9|3|3|7|7|10|3|3|18|16|17|12|3|8|6|6|8,0,37,74,186.10541945229,109.578659502665
6,1,5,18|12|13|8|5|11|8|18|14|7|9|12|11|7|17|10|3|11|9|13|10|9|16|8|12|15|13|5|7,0,57,47,186.481709264946,109.578659502665
6,1,6,18|7|15|6|10|12|14|14|10|8|16|14|9|11|10|9|14|10|11|11|10|16|9|7|13|15|16|9|10,0,57,60,186.559670102655,109.578659502665
6,1,7,17|11|17|4|11|12|18|17|20|11|11|2|2|8|20|5|10|19|11|18|12|6|17|2|4|19|5|6|6,0,42,78,187.302291079156,109.578659502665
6,1,8,16|11|16|7|8|15|15|13|17|12|15|11|14|14|13|12|6|10|7|9|16|11|7|11|11|12|13|11|11,0,39,68,187.532364852946,109.578659502665
6,1,9,3|5|18|6|14|8|19|19|16|11|18|17|13|14|18|4|18|12|19|13|9|18|8|9|8|17|20|18|8,0,75,76,187.588045147095,109.578659502665
6,1,10,15|9|17|8|11|14|8|17|12|6|10|16|6|10|7|6|10|5|13|9|12|14|13|11|9|9|7|12|6,0,47,75,187.695587529316,109.578659502665
12,1,1,17|5|19|16|14|10|4|15|13|16|7|3|17|11|3|5|15|14|2|14|18|2|4|6|12|16|12|6|10,0,30,45,183.376282077933,111.027100833257
12,1,2,17|8|10|11|10|13|9|9|16|14|13|5|13|7|5|9|12|8|7|9|11|10|4|12|12|11|13|18|9,0,42,69,185.052140905409,111.027100833257
12,1,3,18|12|10|11|16|5|11|12|10|8|14|9|9|13|11|11|15|11|12|9|19|16|9|6|12|9|18|11|14,0,39,44,185.315117190042,111.027100833257
12,1,4,20|7|13|3|20|18|19|19|2|2|14|19|8|2|13|4|11|16|3|5|17|19|5|11|7|9|19|6|12,0,35,37,185.399033768722,111.027100833257
12,1,5,16|11|9|16|15|13|10|14|12|7|16|15|12|6|7|8|12|7|9|9|9|11|9|10|13|14|18|12|7,0,65,61,185.558088463811,111.027100833257
12,1,6,18|10|13|17|9|6|15|9|17|11|13|6|12|13|4|10|11|14|12|6|14|17|12|12|9|12|13|14|7,0,33,42,185.574891882351,111.027100833257
12,1,7,20|18|4|14|19|5|12|8|2|8|18|15|3|14|9|14|9|8|19|12|4|8|19|14|20|12|12|20|9,0,38,53,185.757070370035,111.027100833257
