repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
4,1,1,19|9|19|17|15|17|6|18|6|10|19|3|11|7|4|10|10|6|16|4|6|3|7|10|12|2|17|17|19,2,68,68,TRUE,0.136434494521624,0.463950787722651,0.231313292598093,98.3354756555444,1471.36855296691
4,1,2,8|2|13|4|12|9|9|12|10|19|12|20|6|8|18|4|19|19|2|5|6|15|8|19|7|11|13|17|6,2,55,60,TRUE,0.152229882128692,0.103030620704198,0.471828832883491,98.516811285836,1471.36855296691
4,1,3,20|8|5|11|14|5|3|19|15|5|3|5|18|6|18|16|15|13|3|4|4|11|19|18|2|9|3|18|14,2,76,41,TRUE,0.286180850064072,0.160292881085641,0.307409521187138,99.0028403992585,1471.36855296691
4,1,4,9|14|12|9|9|19|11|11|15|11|14|8|9|5|12|7|11|12|8|20|17|13|15|11|6|16|9|20|5,2,58,73,TRUE,0.461237018867137,0.187293492965788,0.177832365973154,99.0609527959746,1471.36855296691
4,1,5,20|5|5|10|12|15|10|13|7|15|13|16|12|19|8|13|3|13|4|18|9|13|14|10|14|9|12|14|16,0,61,30,TRUE,0.28029027104951,0.289717144390658,0.332216319679472,99.4458271061879,1471.36855296691
4,1,6,5|16|4|6|13|12|4|3|5|17|7|13|16|5|17|17|3|11|17|14|13|20|3|19|18|18|11|7|18,2,44,72,TRUE,0.420910816613792,0.234575302082036,0.418237259589498,99.6058688011597,1471.36855296691
4,1,7,19|20|9|11|14|18|13|16|16|7|16|4|12|19|11|5|15|15|5|6|9|12|4|13|2|7|11|16|8,0,62,69,TRUE,0.367564053374291,0.131458580326418,0.440596471168748,99.6137223177796,1471.36855296691
4,1,8,10|4|14|20|5|3|3|6|7|19|11|10|20|17|9|9|19|5|14|18|15|8|16|15|8|13|17|17|19,0,59,67,TRUE,0.230083429684027,0.152730761265672,0.372023304759841,99.6280946558107,1471.36855296691
4,1,9,10|4|2|13|13|18|2|11|20|19|6|5|15|10|14|18|13|8|17|18|14|20|6|14|7|11|17|11|20,2,40,63,TRUE,0.210393813888206,0.268784345723947,0.105498131545028,99.6377518669165,1471.36855296691
4,1,10,18|2|19|16|11|16|18|18|8|7|11|18|13|18|14|7|10|16|9|20|16|9|10|4|8|17|12|18|11,0,74,30,TRUE,0.178337175142305,0.457083986411777,0.388808041345328,99.7484044007951,1471.36855296691
12,1,1,19|9|19|17|15|17|6|18|6|10|19|3|11|7|4|10|10|6|16|4|6|3|7|10|12|2|17|17|19,2,68,68,TRUE,0.136434494521624,0.463950787722651,0.231313292598093,98.6416657403654,1481.2152799805
12,1,2,9|14|12|9|9|19|11|11|15|11|14|8|9|5|12|7|11|12|8|20|17|13|15|11|6|16|9|20|5,2,58,73,TRUE,0.461237018867137,0.187293492965788,0.177832365973154,99.1667480445064,1481.2152799805
12,1,3,11|13|2|12|6|13|10|6|10|8|13|7|3|2|6|13|8|3|11|8|11|9|15|10|8|4|4|16|17,2,46,47,TRUE,0.234897191204234,0.125827093242616,0.193029130618864,99.3361912414794,1481.2152799805
12,1,4,18|2|19|16|11|16|18|18|8|7|11|18|13|18|14|7|10|16|9|20|16|9|10|4|8|17|12|18|11,0,74,30,TRUE,0.178337175142305,0.457083986411777,0.388808041345328,99.5643263378968,1481.2152799805
12,1,5,14|5|14|7|10|20|4|14|11|7|4|18|12|13|5|4|4|8|14|8|9|13|10|10|9|9|19|16|3,0,80,72,TRUE,0.443102239171656,0.411388282717068,0.376566584984142,99.9832808465694,1481.2152799805
12,1,6,13|7|19|8|8|10|14|19|6|20|7|3|7|18|20|12|3|16|17|12|4|18|9|16|18|3|8|20|20,0,57,55,TRUE,0.459884305580312,0.151072861730871,0.398604007012263,100.054662630797,1481.2152799805
12,1,7,3|9|11|3|17|13|6|16|3|18|6|2|6|10|18|9|18|17|17|16|19|5|17|16|17|13|20|8|10,0,48,55,TRUE,0.355266447719024,0.279013663028513,0.128619063921265,100.12756135513,1481.2152799805
12,1,8,10|15|8|2|20|11|8|10|14|13|10|19|15|9|18|9|9|11|11|12|16|9|19|6|11|12|10|11|9,0,37,66,TRUE,0.190949409383918,0.201903768436104,0.225369120942843,100.204249440902,1481.2152799805
12,1,9,6|8|15|14|15|2|15|5|9|20|7|2|5|15|6|3|20|19|15|19|15|9|6|11|19|2|20|20|11,0,79,57,TRUE,0.188050389198664,0.463672837132536,0.118085433780733,100.245351241543,1481.2152799805
12,1,10,12|19|14|9|13|8|4|2|2|9|2|17|5|14|7|15|7|12|9|4|5|8|8|19|18|20|14|18|15,0,53,72,TRUE,0.248692410269873,0.489756230089781,0.4945766677107,100.25888068322,1481.2152799805
16,1,1,19|9|19|17|15|17|6|18|6|10|19|3|11|7|4|10|10|6|16|4|6|3|7|10|12|2|17|17|19,2,68,68,TRUE,0.136434494521624,0.463950787722651,0.231313292598093,97.2263093349549,1477.33198071718
16,1,2,8|2|13|4|12|9|9|12|10|19|12|20|6|8|18|4|19|19|2|5|6|15|8|19|7|11|13|17|6,2,55,60,TRUE,0.152229882128692,0.103030620704198,0.471828832883491,97.7867586857106,1477.33198071718
16,1,3,11|13|2|12|6|13|10|6|10|8|13|7|3|2|6|13|8|3|11|8|11|9|15|10|8|4|4|16|17,2,46,47,TRUE,0.234897191204234,0.125827093242616,0.193029130618864,97.9095780385921,1477.33198071718
16,1,4,10|4|2|13|13|18|2|11|20|19|6|5|15|10|14|18|13|8|17|18|14|20|6|14|7|11|17|11|20,2,40,63,TRUE,0.210393813888206,0.268784345723947,0.105498131545028,97.9506308501083,1477.33198071718
16,1,5,9|14|12|9|9|19|11|11|15|11|14|8|9|5|12|7|11|12|8|20|17|13|15|11|6|16|9|20|5,2,58,73,TRUE,0.461237018867137,0.187293492965788,0.177832365973154,98.4956502982062,1477.33198071718
16,1,6,18|16|8|9|14|11|16|19|7|4|4|8|4|12|18|13|4|16|7|18|5|13|16|17|4|14|3|18|12,0,43,29,TRUE,0.423472826696165,0.221698687377795,0.214614229681433,98.7824592324352,1477.33198071718
16,1,7,20|8|5|11|14|5|3|19|15|5|3|5|18|6|18|16|15|13|3|4|4|11|19|18|2|9|3|18|14,2,76,41,TRUE,0.286180850064072,0.160292881085641,0.307409521187138,98.8161547719829,1477.33198071718
16,1,8,18|2|19|16|11|16|18|18|8|7|11|18|13|18|14|7|10|16|9|20|16|9|10|4|8|17|12|18|11,0,74,30,TRUE,0.178337175142305,0.457083986411777,0.388808041345328,99.0552499855402,1477.33198071718
16,1,9,5|19|9|7|19|12|7|5|13|3|8|11|19|8|17|9|20|18|16|17|13|3|17|14|6|18|18|15|5,0,42,43,TRUE,0.470247566111438,0.121345492919985,0.481271894806479,99.0581068734633,1477.33198071718
16,1,10,8|7|8|7|6|11|17|10|11|17|4|13|6|19|7|19|8|17|17|12|6|4|16|10|16|15|14|19|4,0,49,59,TRUE,0.472641946024184,0.211460452881228,0.233396957625842,99.1434490401879,1477.33198071718
8,1,1,9|14|12|9|9|19|11|11|15|11|14|8|9|5|12|7|11|12|8|20|17|13|15|11|6|16|9|20|5,2,58,73,TRUE,0.461237018867137,0.187293492965788,0.177832365973154,97.580559658774,1507.89227803548
8,1,2,19|9|19|17|15|17|6|18|6|10|19|3|11|7|4|10|10|6|16|4|6|3|7|10|12|2|17|17|19,2,68,68,TRUE,0.136434494521624,0.463950787722651,0.231313292598093,97.9154853598366,1507.89227803548
8,1,3,11|13|2|12|6|13|10|6|10|8|13|7|3|2|6|13|8|3|11|8|11|9|15|10|8|4|4|16|17,2,46,47,TRUE,0.234897191204234,0.125827093242616,0.193029130618864,98.3853981522956,1507.89227803548
8,1,4,20|15|13|9|17|17|3|19|16|9|16|19|8|12|12|3|4|16|4|3|10|16|4|12|8|17|3|16|18,0,63,54,TRUE,0.217004927922499,0.108876486927117,0.152923232356945,99.0044172366461,1507.89227803548
8,1,5,8|2|13|4|12|9|9|12|10|19|12|20|6|8|18|4|19|19|2|5|6|15|8|19|7|11|13|17|6,2,55,60,TRUE,0.152229882128692,0.103030620704198,0.471828832883491,99.0102540178068,1507.89227803548
8,1,6,2|15|17|15|15|10|12|17|11|4|9|17|9|4|16|4|16|12|9|13|10|5|11|16|14|10|11|15|17,2,47,62,TRUE,0.434804121425582,0.431752931940395,0.107062558089254,99.0669356925775,1507.89227803548
8,1,7,18|2|19|16|11|16|18|18|8|7|11|18|13|18|14|7|10|16|9|20|16|9|10|4|8|17|12|18|11,0,74,30,TRUE,0.178337175142305,0.457083986411777,0.388808041345328,99.0741894664853,1507.89227803548
8,1,8,17|11|9|8|10|17|5|18|9|13|9|3|8|6|7|18|9|13|11|15|17|14|8|14|2|7|3|18|11,2,51,57,TRUE,0.337301840456407,0.167876024761261,0.33442613967786,99.1379732331792,1507.89227803548
8,1,9,19|20|9|11|14|18|13|16|16|7|16|4|12|19|11|5|15|15|5|6|9|12|4|13|2|7|11|16|8,0,62,69,TRUE,0.367564053374291,0.131458580326418,0.440596471168748,99.2050834039027,1507.89227803548
8,1,10,6|8|15|14|15|2|15|5|9|20|7|2|5|15|6|3|20|19|15|19|15|9|6|11|19|2|20|20|11,0,79,57,TRUE,0.188050389198664,0.463672837132536,0.118085433780733,99.312814279194,1507.89227803548
18,1,1,19|9|19|17|15|17|6|18|6|10|19|3|11|7|4|10|10|6|16|4|6|3|7|10|12|2|17|17|19,2,68,68,TRUE,0.136434494521624,0.463950787722651,0.231313292598093,96.7408745188377,1514.46519294977
18,1,2,11|13|2|12|6|13|10|6|10|8|13|7|3|2|6|13|8|3|11|8|11|9|15|10|8|4|4|16|17,2,46,47,TRUE,0.234897191204234,0.125827093242616,0.193029130618864,97.8108315169027,1514.46519294977
18,1,3,8|2|13|4|12|9|9|12|10|19|12|20|6|8|18|4|19|19|2|5|6|15|8|19|7|11|13|17|6,2,55,60,TRUE,0.152229882128692,0.103030620704198,0.471828832883491,97.8202866033745,1514.46519294977
18,1,4,9|14|12|9|9|19|11|11|15|11|14|8|9|5|12|7|11|12|8|20|17|13|15|11|6|16|9|20|5,2,58,73,TRUE,0.461237018867137,0.187293492965788,0.177832365973154,98.0468760853678,1514.46519294977
18,1,5,10|4|2|13|13|18|2|11|20|19|6|5|15|10|14|18|13|8|17|18|14|20|6|14|7|11|17|11|20,2,40,63,TRUE,0.210393813888206,0.268784345723947,0.105498131545028,98.4754225469298,1514.46519294977
18,1,6,12|6|2|14|12|11|11|18|4|3|20|12|13|2|3|10|11|7|8|5|7|5|16|9|18|8|8|16|20,2,80,56,TRUE,0.4267005023264,0.299165911385939,0.339813821565639,98.6838858893554,1514.46519294977
