repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins,pred.type
4,1,0.902970357025112,0.946354848377098,85.2242607576288,6.07660658570914,0.895307682074571,0.942221106347638,90.6199407395829,6.2777812638758,1525.5816281875,avg
4,1,0.902969982071604,0.946354668562049,85.2246994324568,6.0765346274415,0.895307319266021,0.942220540901195,90.6203358815367,6.27764537925871,1525.5816281875,wavg
12,1,0.900073185481487,0.944981691538463,87.6921110930141,6.2180972079042,0.894577045223883,0.942445663700371,90.1702665388682,6.32034852858839,1530.21152643363,avg
12,1,0.900075471693648,0.944982757988021,87.6902344927274,6.21796695275951,0.89457802214179,0.942445952950933,90.169407851059,6.32021529558271,1530.21152643363,wavg
16,1,0.903255261762778,0.946236321870835,84.9859494263954,6.07313782355946,0.889040256792096,0.938106090455439,96.8671737740439,6.42681672169981,1525.22348780235,avg
16,1,0.903258955961831,0.946237709453703,84.9832561682232,6.07295482125574,0.889041497061535,0.938105820966289,96.8666747356988,6.42669895639186,1525.22348780235,wavg
8,1,0.902338326597879,0.945615252891633,85.593592600519,6.09940741832943,0.89460543635214,0.941432808638081,93.6251404004637,6.38860842210017,1560.08250445127,avg
8,1,0.902337675892546,0.945614009450843,85.5944153463076,6.09945513656811,0.894605668070934,0.941432074807747,93.6251203556744,6.38860944594191,1560.08250445127,wavg
18,1,0.90428047923689,0.947136411192389,84.2357479601449,6.02243111272518,0.887317519029748,0.937533933619818,97.2639956192479,6.2976031058525,1568.72300364574,avg
18,1,0.904281011805691,0.947136361665036,84.2352675303906,6.02243231569135,0.887320874165001,0.937535260830205,97.2611897787664,6.29756938863682,1568.72300364574,wavg
3,1,0.902909289828355,0.946311611544964,85.2839843847421,6.07965880885655,0.891131492918563,0.93968608630857,93.9550071255188,6.3651090177578,1591.2196382761,avg
3,1,0.902910516570587,0.946311804478474,85.2831660434191,6.07952038266103,0.891132669687956,0.939686241515755,93.9542969980045,6.36495252813471,1591.2196382761,wavg
5,1,0.901881911774285,0.94556403463658,85.7566499632323,6.09622146927207,0.895938803169199,0.941415773764444,94.5962744152847,6.35671630074631,1624.01561949253,avg
5,1,0.901882909337488,0.94556416162429,85.7555739718627,6.09626598612592,0.895938991672215,0.941415553481627,94.5957048478709,6.35679534341376,1624.01561949253,wavg
15,1,0.900522489448519,0.944773487711029,87.06918062537,6.11485327773621,0.894147327661946,0.941498562211383,94.61916857301,6.36969209505218,1624.38702693383,avg
15,1,0.900518961395609,0.944770613652785,87.0724809637008,6.11498645622712,0.894146714296042,0.941497224571879,94.6199543533212,6.36975515599028,1624.38702693383,wavg
7,1,0.903448826368072,0.946438754965965,84.9461960908671,6.05676778470662,0.889205606078806,0.938815869646044,95.3415332405274,6.42690592610784,1639.12405267954,avg
7,1,0.903455630667081,0.946442666508157,84.9407589570686,6.05651202256789,0.889208591826533,0.938817370322016,95.3394309345858,6.42672851737278,1639.12405267954,wavg
9,1,0.902853622544726,0.946358617350446,85.1952991721509,6.05838121404504,0.89159186122731,0.93996982324391,94.8798853952248,6.40934371092792,1642.69892394145,avg
9,1,0.902858316021517,0.946361320535311,85.1914344937042,6.05820172134776,0.891592475827286,0.939970281873922,94.8794331646814,6.40926847400338,1642.69892394145,wavg
11,1,0.902769543398611,0.946026720823078,85.5189313615893,6.09692197309056,0.888886836054875,0.938877151203875,95.0894541211481,6.38350548694617,1651.11805577675,avg
11,1,0.902780642090543,0.946032757344996,85.5101887394922,6.09649900795844,0.888890254193363,0.938879132522975,95.0869309977994,6.38328876419242,1651.11805577675,wavg
1,1,0.903801725191459,0.946818255660886,84.4616428488923,6.03390607739302,0.894462367545485,0.94203693448966,92.4633028368282,6.27065981644338,1658.43796449105,avg
1,1,0.903802025020887,0.94681933090624,84.4612873020719,6.0338298884899,0.89446396826852,0.942038856439336,92.4620310538283,6.27050359163289,1658.43796449105,wavg
20,1,0.904126440838795,0.947118871436075,84.2692419241097,6.05669197440354,0.890648611389543,0.939699570328083,94.1490733833919,6.3620812717566,1641.14558416605,avg
20,1,0.904125381200213,0.947117993027249,84.270031979112,6.05688039347829,0.89064441752982,0.939697092676544,94.1524870914678,6.36241085097287,1641.14558416605,wavg
10,1,0.902532267236499,0.946161760826215,85.7850756292688,6.08467287188789,0.891806910190547,0.94019475028402,91.6403518139047,6.25852046953395,1703.10236450831,avg
10,1,0.902535643552219,0.946162566864438,85.782631581397,6.08452894939861,0.891807731195275,0.940194366395648,91.6397536411495,6.25840941118854,1703.10236450831,wavg
19,1,0.901060617814877,0.945114673874876,87.0440546554391,6.1380533393429,0.893049970688103,0.940802332538428,90.7624009599034,6.33270875626531,1728.65092517932,avg
19,1,0.90105579655071,0.945111259286272,87.0481323597155,6.13821723884039,0.893049853189607,0.94080143572453,90.7624877422768,6.33278014379947,1728.65092517932,wavg
14,1,0.902578609265721,0.946055249785314,85.4303022328016,6.10780393582831,0.890142864019671,0.938840522547881,96.3878171911101,6.36535417287703,1786.87431160212,avg
14,1,0.902582283704995,0.946057761657825,85.4272235697563,6.10758800607492,0.890145385561238,0.938842501921183,96.3857557059124,6.36513124035114,1786.87431160212,wavg
6,1,0.902161764777211,0.945952853425452,85.6701352361018,6.0721220323792,0.8927461946884,0.940935827231181,95.0931016978509,6.3412524778633,1832.41254316568,avg
6,1,0.902162313350853,0.945953417989404,85.6698563826313,6.072018579318,0.892746975316328,0.940936572857459,95.0927836423178,6.34105512363214,1832.41254316568,wavg
