repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
6,1,1,20|16,1,31,80,204.142298850598,32.8183861494064
6,1,2,20|12,1,65,47,205.968135874108,32.8183861494064
6,1,3,18|6,1,21,73,209.613137022051,32.8183861494064
6,1,4,17|13,1,80,2,211.357985206848,32.8183861494064
6,1,5,12|7,1,80,34,212.051012689838,32.8183861494064
6,1,6,2|4,2,80,78,212.248703666665,32.8183861494064
6,1,7,13|8,1,50,72,212.309465235938,32.8183861494064
6,1,8,12|5,1,59,12,215.638508774057,32.8183861494064
6,1,9,2|20,2,63,80,221.208388077776,32.8183861494064
6,1,10,10|17,2,72,55,226.662791201103,32.8183861494064
2,1,1,16|14,1,28,80,209.463072654027,36.5667571663856
2,1,2,18|6,1,21,73,212.434149075587,36.5667571663856
2,1,3,14|6,1,51,80,214.56116701538,36.5667571663856
2,1,4,9|10,1,72,40,214.735566317027,36.5667571663856
2,1,5,15|12,1,80,2,221.098980064544,36.5667571663856
2,1,6,20|12,1,65,47,222.201725363807,36.5667571663856
2,1,7,12|5,1,59,12,225.434320844608,36.5667571663856
2,1,8,18|7,1,44,56,227.59608704236,36.5667571663856
2,1,9,10|17,2,72,55,233.973300571092,36.5667571663856
2,1,10,2|17,2,62,80,236.009453401489,36.5667571663856
10,1,1,20|12,1,65,47,201.364879510848,36.9623777508736
10,1,2,17|2,1,80,80,202.34014348858,36.9623777508736
10,1,3,19|16,1,30,80,202.73088819308,36.9623777508736
10,1,4,13|8,1,50,70,204.672410718505,36.9623777508736
10,1,5,12|17,1,80,2,205.062196162983,36.9623777508736
10,1,6,13|8,1,80,37,209.046179537167,36.9623777508736
10,1,7,18|6,1,21,73,210.370077868592,36.9623777508736
10,1,8,12|5,1,59,12,216.288156642726,36.9623777508736
10,1,9,10|17,2,72,55,223.933991909911,36.9623777508736
10,1,10,6|2,2,61,71,224.095910918432,36.9623777508736
12,1,1,13|13,1,62,35,204.98256138861,37.7602190653483
12,1,2,12|11,1,80,23,205.232278547408,37.7602190653483
12,1,3,20|18,1,32,80,207.792372152381,37.7602190653483
12,1,4,12|5,1,59,12,208.854437873908,37.7602190653483
12,1,5,13|8,1,50,73,210.832211892877,37.7602190653483
12,1,6,20|12,1,65,47,210.847615955714,37.7602190653483
12,1,7,2|4,2,79,80,215.206989689383,37.7602190653483
12,1,8,20|13,1,70,2,216.156025198892,37.7602190653483
12,1,9,18|6,1,21,73,220.496683661314,37.7602190653483
12,1,10,2|8,2,71,58,221.984492529701,37.7602190653483
20,1,1,20|12,1,65,47,226.311260841455,36.2331052660942
20,1,2,20|16,1,28,80,226.823200904598,36.2331052660942
20,1,3,18|6,1,21,73,227.078415704997,36.2331052660942
20,1,4,20|7,1,80,2,228.876015737024,36.2331052660942
20,1,5,20|7,1,41,48,235.776864303763,36.2331052660942
20,1,6,13|9,1,48,71,239.910818776144,36.2331052660942
20,1,7,12|15,1,61,38,240.370434123679,36.2331052660942
20,1,8,12|5,1,59,12,241.055604765684,36.2331052660942
20,1,9,2|16,2,63,77,241.830551248557,36.2331052660942
20,1,10,10|17,2,72,55,245.173226154142,36.2331052660942
8,1,1,10|2,1,80,63,199.171933606812,40.6541675845782
8,1,2,14|8,1,48,73,199.767464390577,40.6541675845782
8,1,3,8|18,1,80,2,200.64751097542,40.6541675845782
8,1,4,20|15,1,29,80,200.942553846728,40.6541675845782
8,1,5,18|6,1,21,73,204.0169359833,40.6541675845782
8,1,6,14|8,1,80,22,206.581541362068,40.6541675845782
8,1,7,20|12,1,65,47,210.80557738885,40.6541675845782
8,1,8,2|20,1,78,73,217.883214420838,40.6541675845782
8,1,9,12|5,1,59,12,222.475991718802,40.6541675845782
8,1,10,2|16,2,64,71,222.964986954383,40.6541675845782
14,1,1,20|2,1,80,2,195.669145334519,40.1062099337578
14,1,2,18|6,1,21,73,196.453887950167,40.1062099337578
14,1,3,20|14,1,28,80,196.542610782441,40.1062099337578
14,1,4,12|2,1,80,35,201.384849089055,40.1062099337578
14,1,5,20|2,1,39,60,210.804779114913,40.1062099337578
14,1,6,14|7,1,48,75,211.718932885074,40.1062099337578
14,1,7,18|9,1,33,60,213.842905633685,40.1062099337578
14,1,8,20|12,1,65,47,215.273728624653,40.1062099337578
14,1,9,12|5,1,59,12,221.071285939843,40.1062099337578
14,1,10,10|17,2,72,55,225.978249523054,40.1062099337578
