repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
6,1,1,13|10|12|5|17|20|13|5|8|19|12|11|20|14|16|8|13|4|18|9|15|16|9|3|17|9|19|8|16,0,65,36,98.3880415151832,1742.32271244923
6,1,2,17|6|11|18|15|9|3|9|19|11|14|2|7|5|19|11|13|20|17|3|17|18|20|19|18|6|11|5|19,0,79,56,98.4455665769336,1742.32271244923
6,1,3,8|13|15|13|12|12|12|11|9|11|15|17|10|8|14|13|16|4|9|18|7|16|8|8|9|16|15|10|11,0,47,58,98.5548552478433,1742.32271244923
6,1,4,15|14|10|11|13|12|13|10|12|14|11|11|9|9|17|13|10|14|11|10|9|8|14|4|7|7|16|9|11,0,68,45,98.6509784361423,1742.32271244923
6,1,5,11|20|5|4|17|14|18|7|12|13|20|14|18|20|18|17|19|6|5|5|15|7|3|5|16|15|12|9|19,0,77,80,98.6799712496229,1742.32271244923
6,1,6,16|3|18|19|6|12|19|17|18|18|19|16|11|8|19|4|6|16|14|20|16|8|2|10|8|17|20|18|4,0,45,65,98.6869543060202,1742.32271244923
6,1,7,19|13|7|17|2|19|20|11|7|14|12|17|18|7|8|7|19|11|12|14|8|9|8|3|10|10|16|7|16,0,63,51,98.6986368388373,1742.32271244923
6,1,8,3|16|15|11|19|17|7|8|19|12|6|16|10|4|18|3|8|20|11|13|10|9|2|20|5|20|17|8|14,0,64,52,98.7262568989058,1742.32271244923
6,1,9,11|11|17|13|11|11|16|12|9|12|12|10|11|5|15|13|12|16|16|16|15|17|9|11|8|15|17|8|11,0,74,45,98.7444657312353,1742.32271244923
6,1,10,5|7|3|15|11|13|11|9|20|11|5|5|14|12|17|17|3|4|9|10|14|5|18|6|18|11|14|14|10,0,80,31,98.764749228946,1742.32271244923
18,1,1,13|10|12|5|17|20|13|5|8|19|12|11|20|14|16|8|13|4|18|9|15|16|9|3|17|9|19|8|16,0,65,36,97.8516996227125,1793.0930099686
18,1,2,19|13|7|17|2|19|20|11|7|14|12|17|18|7|8|7|19|11|12|14|8|9|8|3|10|10|16|7|16,0,63,51,98.1776643495297,1793.0930099686
18,1,3,15|11|13|11|14|10|12|7|12|7|10|13|11|9|12|10|10|10|13|12|8|8|12|10|16|14|18|8|16,0,65,39,98.1980587636984,1793.0930099686
18,1,4,8|13|11|5|13|18|16|11|11|10|16|6|13|14|8|10|16|8|12|10|14|11|7|9|9|9|16|7|10,0,52,37,98.3109147940356,1793.0930099686
18,1,5,6|19|6|9|20|2|3|17|16|2|11|18|3|17|12|9|8|15|10|18|2|5|11|3|5|16|19|13|13,0,67,58,98.311686888757,1793.0930099686
18,1,6,13|10|16|11|17|12|16|12|14|15|6|6|5|14|6|15|12|9|15|9|13|11|11|6|11|8|12|11|10,0,70,36,98.342581334222,1793.0930099686
18,1,7,16|3|18|19|6|12|19|17|18|18|19|16|11|8|19|4|6|16|14|20|16|8|2|10|8|17|20|18|4,0,45,65,98.3637775166381,1793.0930099686
18,1,8,17|10|6|9|17|6|14|10|2|15|17|5|17|10|3|14|16|14|2|6|7|19|5|12|5|7|10|16|17,0,76,34,98.3664508034911,1793.0930099686
18,1,9,14|16|10|18|12|8|9|3|17|19|9|16|3|17|16|9|8|6|9|3|8|7|12|17|15|12|14|8|5,0,50,34,98.3826465316291,1793.0930099686
18,1,10,17|13|17|16|16|6|17|12|6|12|15|19|14|11|7|15|15|9|18|14|9|14|13|19|6|20|18|16|19,0,36,43,98.4442007345817,1793.0930099686
20,1,1,17|13|17|16|16|6|17|12|6|12|15|19|14|11|7|15|15|9|18|14|9|14|13|19|6|20|18|16|19,0,36,43,98.3378394094758,1794.34581008355
20,1,2,8|12|8|17|15|11|17|14|7|12|5|14|12|13|8|10|8|9|15|14|8|15|14|12|9|10|17|8|18,0,62,41,98.3553395055945,1794.34581008355
20,1,3,13|10|12|5|17|20|13|5|8|19|12|11|20|14|16|8|13|4|18|9|15|16|9|3|17|9|19|8|16,0,65,36,98.3646736506894,1794.34581008355
20,1,4,17|6|11|18|15|9|3|9|19|11|14|2|7|5|19|11|13|20|17|3|17|18|20|19|18|6|11|5|19,0,79,56,98.3993464744578,1794.34581008355
20,1,5,12|16|10|14|15|17|12|13|13|10|8|13|12|15|9|14|12|4|9|18|11|13|8|5|16|15|17|11|14,0,68,45,98.4400899832667,1794.34581008355
20,1,6,19|13|7|17|2|19|20|11|7|14|12|17|18|7|8|7|19|11|12|14|8|9|8|3|10|10|16|7|16,0,63,51,98.4991618781045,1794.34581008355
20,1,7,15|6|13|16|11|12|14|12|15|13|10|16|16|7|14|11|16|13|14|11|6|12|8|10|8|14|11|12|15,0,48,59,98.5109068017968,1794.34581008355
20,1,8,13|6|12|9|13|10|10|18|9|8|5|9|7|9|10|10|11|12|18|9|12|13|12|7|13|12|12|7|12,0,77,42,98.5129529303382,1794.34581008355
20,1,9,13|13|13|12|9|16|13|7|15|12|11|8|14|8|10|8|14|6|15|8|13|12|8|12|10|15|12|13|14,0,67,35,98.6195605325462,1794.34581008355
20,1,10,5|18|4|4|4|3|10|17|20|4|14|7|13|11|6|7|17|12|5|16|14|17|2|5|7|19|13|10|13,0,34,36,98.7172026039436,1794.34581008355
5,1,1,13|10|12|5|17|20|13|5|8|19|12|11|20|14|16|8|13|4|18|9|15|16|9|3|17|9|19|8|16,0,65,36,98.3586925803488,1822.56762708426
5,1,2,19|13|7|17|2|19|20|11|7|14|12|17|18|7|8|7|19|11|12|14|8|9|8|3|10|10|16|7|16,0,63,51,98.3750464082773,1822.56762708426
