repetition,cviter,trial,num.layers,units1,units2,units3,mse.test.mean,time.in.mins
2,1,1,2,64,51,64,146.819738622249,44.7097182035446
2,1,2,2,64,64,43,146.876666225594,44.7097182035446
2,1,3,2,39,64,64,149.056140545075,44.7097182035446
2,1,4,1,64,33,19,153.180217949448,44.7097182035446
2,1,5,1,34,41,64,153.202591650033,44.7097182035446
2,1,6,1,64,29,64,153.66634490804,44.7097182035446
2,1,7,1,64,64,8,154.563439298283,44.7097182035446
2,1,8,2,55,54,55,155.487433593022,44.7097182035446
2,1,9,1,39,62,26,155.981286493164,44.7097182035446
2,1,10,1,24,64,64,156.590228284736,44.7097182035446
3,1,1,2,64,64,44,143.921111702113,44.6210208853086
3,1,2,2,37,64,64,144.256394817205,44.6210208853086
3,1,3,2,64,51,64,147.128271694087,44.6210208853086
3,1,4,1,34,41,64,148.068698131971,44.6210208853086
3,1,5,1,28,35,64,149.915524042687,44.6210208853086
3,1,6,1,64,64,8,150.623167016869,44.6210208853086
3,1,7,1,64,29,64,150.94109753111,44.6210208853086
3,1,8,1,23,64,64,151.924269586448,44.6210208853086
3,1,9,1,17,41,62,152.341785343611,44.6210208853086
3,1,10,1,64,33,19,152.815019980981,44.6210208853086
8,1,1,2,64,49,64,140.681601199344,44.3031182169914
8,1,2,2,64,64,46,144.670829948245,44.3031182169914
8,1,3,2,37,64,64,145.236757460621,44.3031182169914
8,1,4,1,64,33,19,150.032039310154,44.3031182169914
8,1,5,1,34,42,64,150.702103955995,44.3031182169914
8,1,6,1,64,32,64,150.851545384402,44.3031182169914
8,1,7,1,17,41,62,151.077536515249,44.3031182169914
8,1,8,1,64,64,61,151.886522030773,44.3031182169914
8,1,9,1,22,64,64,152.700725477737,44.3031182169914
8,1,10,1,39,62,26,153.279992675855,44.3031182169914
10,1,1,2,64,64,20,143.019006043643,45.0724527517955
10,1,2,2,64,64,62,144.76136887015,45.0724527517955
10,1,3,2,64,43,64,145.312976655614,45.0724527517955
10,1,4,2,36,64,64,146.232071890612,45.0724527517955
10,1,5,1,64,64,8,149.868429913214,45.0724527517955
10,1,6,1,26,64,58,150.138351770442,45.0724527517955
10,1,7,1,64,64,25,151.552672878381,45.0724527517955
10,1,8,1,64,33,19,152.316434345711,45.0724527517955
10,1,9,1,33,42,64,153.949878806139,45.0724527517955
10,1,10,1,39,62,26,155.583331771822,45.0724527517955
12,1,1,2,64,45,64,148.026203489366,45.0099382638931
12,1,2,2,64,64,53,149.95650935542,45.0099382638931
12,1,3,2,36,64,64,150.533487155254,45.0099382638931
12,1,4,1,64,29,64,151.321197482987,45.0099382638931
12,1,5,1,64,64,64,154.662851097787,45.0099382638931
12,1,6,1,64,33,19,155.721038535199,45.0099382638931
12,1,7,1,34,41,64,156.23668030422,45.0099382638931
12,1,8,1,27,64,58,156.395091330494,45.0099382638931
12,1,9,1,17,41,62,158.190287284789,45.0099382638931
12,1,10,1,39,62,26,158.262748479561,45.0099382638931
15,1,1,2,38,64,64,147.216892655626,45.0425719499588
15,1,2,2,64,51,64,147.694161478217,45.0425719499588
15,1,3,2,64,64,55,147.998583312531,45.0425719499588
15,1,4,2,57,64,48,153.507983325012,45.0425719499588
15,1,5,1,64,64,8,153.561576469314,45.0425719499588
15,1,6,1,64,29,64,154.001863124317,45.0425719499588
15,1,7,1,39,62,26,154.561066008048,45.0425719499588
15,1,8,1,24,64,62,155.249506659845,45.0425719499588
15,1,9,1,64,33,19,155.874223345921,45.0425719499588
15,1,10,1,34,41,64,156.132414082442,45.0425719499588
7,1,1,2,35,64,64,147.092255539594,46.1689537803332
7,1,2,2,64,64,42,147.13608082352,46.1689537803332
7,1,3,2,64,55,60,151.742025115502,46.1689537803332
7,1,4,1,64,33,19,151.840823106684,46.1689537803332
7,1,5,1,64,64,51,154.318688668515,46.1689537803332
7,1,6,1,34,40,64,154.617951634369,46.1689537803332
7,1,7,1,64,29,64,155.402039756255,46.1689537803332
7,1,8,1,64,64,9,155.678770051882,46.1689537803332
7,1,9,1,26,64,56,157.191976747019,46.1689537803332
7,1,10,1,39,62,26,157.319383494032,46.1689537803332
16,1,1,2,36,64,64,150.098029372114,46.2524966319402
16,1,2,2,64,64,55,150.259310610433,46.2524966319402
16,1,3,1,64,64,8,152.622513120407,46.2524966319402
16,1,4,1,17,41,62,153.549785724615,46.2524966319402
16,1,5,1,34,41,64,154.316269555832,46.2524966319402
16,1,6,1,64,64,64,154.635215262629,46.2524966319402
16,1,7,1,64,33,19,155.341212499291,46.2524966319402
16,1,8,1,26,61,56,157.221691461273,46.2524966319402
16,1,9,1,39,62,26,157.375903254744,46.2524966319402
16,1,10,1,55,53,44,165.289066111717,46.2524966319402
1,1,1,2,64,44,64,142.954668230578,48.8341871500015
1,1,2,2,64,64,53,144.550423376054,48.8341871500015
1,1,3,2,38,64,64,145.80560296575,48.8341871500015
1,1,4,1,64,28,64,149.063582741814,48.8341871500015
1,1,5,1,25,64,57,149.589554214627,48.8341871500015
1,1,6,1,64,64,8,149.620974701369,48.8341871500015
1,1,7,1,34,41,64,150.123383364855,48.8341871500015
1,1,8,1,64,33,19,150.185124676893,48.8341871500015
1,1,9,1,64,64,57,150.748320287398,48.8341871500015
1,1,10,1,17,41,62,150.861507725941,48.8341871500015
14,1,1,2,55,64,64,146.254782107511,48.5569565534592
14,1,2,2,64,64,44,147.417296755091,48.5569565534592
14,1,3,2,64,49,64,147.806238723919,48.5569565534592
14,1,4,2,37,64,64,148.41942209557,48.5569565534592
14,1,5,1,34,41,64,151.302437525916,48.5569565534592
14,1,6,1,64,64,8,152.085003324699,48.5569565534592
14,1,7,1,64,33,19,152.249768562317,48.5569565534592
14,1,8,1,25,64,59,153.100431599019,48.5569565534592
14,1,9,1,64,29,64,153.372244459867,48.5569565534592
14,1,10,1,39,62,26,153.507664777668,48.5569565534592
5,1,1,2,37,64,64,147.095176883547,49.9231303334236
5,1,2,2,64,64,64,148.742216939359,49.9231303334236
5,1,3,2,64,64,25,152.125504951196,49.9231303334236
5,1,4,1,64,33,19,154.373755225459,49.9231303334236
5,1,5,1,64,64,8,154.38073846242,49.9231303334236
5,1,6,1,64,64,27,154.461502676746,49.9231303334236
5,1,7,1,24,64,64,155.106067027417,49.9231303334236
5,1,8,1,34,41,64,156.760930246899,49.9231303334236
5,1,9,1,39,62,26,158.100994464068,49.9231303334236
5,1,10,1,17,41,62,158.101023565827,49.9231303334236
20,1,1,2,64,52,64,140.155121701628,48.5343120495478
20,1,2,2,37,64,64,146.993692832527,48.5343120495478
20,1,3,2,64,64,46,148.752317642378,48.5343120495478
20,1,4,1,64,64,64,150.406617326827,48.5343120495478
20,1,5,1,26,64,56,152.107427888339,48.5343120495478
20,1,6,1,64,33,19,152.52686549761,48.5343120495478
20,1,7,1,34,41,64,152.978968403484,48.5343120495478
20,1,8,1,17,41,62,153.021762850131,48.5343120495478
20,1,9,1,64,64,8,153.721224924889,48.5343120495478
20,1,10,1,64,30,64,153.864668600522,48.5343120495478
19,1,1,2,64,64,60,150.193516450153,48.8660585522652
19,1,2,2,36,64,64,150.93287787585,48.8660585522652
19,1,3,1,24,64,61,154.038113029814,48.8660585522652
19,1,4,1,64,64,27,154.678385101325,48.8660585522652
19,1,5,1,64,64,8,154.882782906005,48.8660585522652
19,1,6,1,34,41,64,155.149182891621,48.8660585522652
19,1,7,1,64,27,64,157.063996575321,48.8660585522652
19,1,8,1,64,33,19,157.823546850701,48.8660585522652
19,1,9,2,57,44,64,157.886465283613,48.8660585522652
19,1,10,1,17,41,62,158.384565828606,48.8660585522652
9,1,1,2,64,52,64,143.614039595217,51.3062365810076
9,1,2,2,38,64,64,147.114266423739,51.3062365810076
9,1,3,1,64,64,8,156.905120063027,51.3062365810076
9,1,4,1,17,41,62,157.319604082993,51.3062365810076
9,1,5,1,64,64,58,157.422615054641,51.3062365810076
9,1,6,1,23,64,64,157.508248715011,51.3062365810076
9,1,7,1,35,41,64,158.366905630197,51.3062365810076
9,1,8,1,64,33,19,158.523134168696,51.3062365810076
9,1,9,1,64,30,64,158.739457311522,51.3062365810076
9,1,10,1,39,62,26,161.898779966975,51.3062365810076
17,1,1,2,37,64,64,148.15882794284,50.4378594319026
