repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins
1,1,0.832211328954335,0.901824050888784,141.560382968828,8.78017476116741,0.834173072766362,0.90342460491437,140.653828731123,8.74162939062267,0.554027585188548
1,2,0.832943964480067,0.90230189764127,141.469714006443,8.7693871791155,0.826457723608871,0.898966803733673,142.288153200713,8.83947520188467,0.535008017222087
1,3,0.832434539262118,0.901928430748305,141.390695198714,8.76008125550073,0.8317356800053,0.900227857183713,142.648392501894,8.88630372085746,0.556869983673096
1,4,0.832730939405482,0.902173151631379,140.673923692583,8.75107043746795,0.829842754979029,0.898433003976063,148.627622510383,8.89169499843778,0.557723466555277
1,5,0.832840740650678,0.902229979267124,141.855951387318,8.78426364102749,0.828904085456744,0.902255337755782,137.917584585784,8.71101971374634,0.565804282824198
1,6,0.83206903878614,0.901711845168023,141.896757917161,8.78339658286436,0.835541451758576,0.903632060407312,137.653740111808,8.67371610944862,0.560028902689616
1,7,0.832083147456545,0.901677579871036,141.480250266544,8.77271721948789,0.83398348998554,0.902833008453297,142.449618279424,8.81824729984576,0.560186151663462
1,8,0.832551078546505,0.901997663597786,141.097153740091,8.76841091613179,0.829827829147941,0.901192166352623,145.925928018001,8.82519792073794,0.554700032869975
1,9,0.832269088090223,0.901809181233578,141.439535531645,8.76842085507212,0.832374001429383,0.901072719758281,142.826472166187,8.82589397303881,0.558527684211731
1,10,0.833352062354047,0.902572561462648,140.80438332799,8.76133219504561,0.824482695299553,0.897435709130157,147.022169497062,8.90530314333227,0.560416698455811
2,1,0.832773700523025,0.902183877845902,140.958056251917,8.75176029064315,0.828804958290417,0.899171046776637,146.408421854189,8.9773362641908,0.557868166764577
2,2,0.83201692578782,0.901650227384718,141.227552489874,8.76928792464305,0.834738736731647,0.901447182277787,144.667455748781,8.78087826991785,0.575952231884003
2,3,0.831476865889684,0.901322132018056,142.306530758267,8.79977765803706,0.841495476412475,0.907183912281525,133.501710446376,8.53304922045457,0.564472329616547
2,4,0.83215927548726,0.901763826831853,141.532981244719,8.76938451872495,0.834039848284069,0.901330119904283,141.514233766522,8.82731895293125,0.574456334114075
2,5,0.832978137804347,0.90227691164645,141.731009429976,8.78239394778766,0.826279540977063,0.899859701330459,139.724357867573,8.7087095737392,0.560822133223216
2,6,0.831758139222792,0.901480041559361,141.530595361631,8.75883357244876,0.837152872511007,0.90525729094097,141.737737806432,8.86671271515098,0.564683918158213
2,7,0.833095239906841,0.902409553796418,141.252633643394,8.77089817663096,0.82542144673277,0.897523429015276,144.0753612907,8.83768111988589,0.566576850414276
2,8,0.833014797476435,0.90233931164544,141.044032438317,8.76762760954294,0.826994406053674,0.899212105201428,145.321546325786,8.85461631691746,0.572804017861684
2,9,0.832973351735001,0.902354927661256,140.804485055013,8.75371992432141,0.828165153711828,0.900484446693088,147.101734900391,8.91860003487553,0.560947450002034
2,10,0.833375817516066,0.902568552756088,141.169016705873,8.77169310526453,0.823081360318448,0.897376607762786,144.530040947738,8.83955418256913,0.570500103632609
3,1,0.832760258884513,0.902197820592384,141.362552027314,8.76581879655621,0.83015635757407,0.900193351884169,141.7647279895,8.80089904238535,0.572108066082001
3,2,0.832410094762638,0.901963065302699,141.203529765512,8.77917040957225,0.83307924920607,0.900796208996588,143.520086756024,8.70045526029858,0.564995948473612
3,3,0.831442836415122,0.901228988269201,142.365290160804,8.79533596136969,0.838867722153928,0.906775981592625,135.189746284716,8.60562872011709,0.561028699080149
3,4,0.832942518291921,0.902308611487438,140.832870203603,8.75685380088763,0.827953326286299,0.898236554670044,147.10312266933,8.88803887526525,0.571400852998098
3,5,0.832360562565311,0.901918418093286,141.536422792988,8.77231501129578,0.832450742508592,0.903099656866407,141.228540089189,8.81618164391157,0.56117068529129
3,6,0.833306265335696,0.902519542804794,141.309843935945,8.77267753757731,0.824739026173398,0.89955397953931,142.752460232697,8.83748782081287,0.565349547068278
3,7,0.832458042408374,0.902008094302132,140.624293709412,8.75420135384925,0.832565663747251,0.899221231550466,148.978920580976,8.86927771485781,0.565512402852376
3,8,0.832619782085015,0.902053964137258,141.600225640592,8.77208865274172,0.829285372296774,0.901070925317763,141.300969003922,8.83294298623547,0.567647965749105
3,9,0.832420739540042,0.901930249438748,141.587970667899,8.77097596566374,0.832511700947032,0.901280118176795,140.334562638471,8.80759047616402,0.560851899782817
3,10,0.832994495475819,0.902320228716128,141.069327706574,8.75493090473941,0.826432886813105,0.899539731704531,145.707314326644,8.97269550071156,0.565412151813507
4,1,0.83266466601406,0.902098442050181,141.411591973422,8.76971088010932,0.829513304468506,0.901170018531533,142.472652129807,8.82788442732368,0.567424301306407
4,2,0.832740951737075,0.902149586966921,141.376545417041,8.77212859973816,0.828394267150918,0.899199599341357,143.058645127022,8.78625926135393,0.556617732842763
4,3,0.832437216504345,0.901967669666268,141.240255309673,8.76290015098441,0.832465840881808,0.902524453546863,143.377486152873,8.89602949561089,0.564638817310333
4,4,0.833129898044629,0.90235365428099,141.287564779477,8.77310172187359,0.824418038216638,0.898507443788761,144.257501607948,8.83689082017901,0.55609298547109
4,5,0.832071081083424,0.901707469889396,142.002365181174,8.7860247958675,0.835591817661177,0.9032302118041,136.746373401129,8.63443857607786,0.563444399833679
4,6,0.83269669535871,0.902142465395138,141.224135825741,8.78155060904304,0.829361706800528,0.899979468977006,144.031283624628,8.74821711622056,0.554669964313507
4,7,0.832558840999817,0.902068514375186,141.11536074163,8.76159931879489,0.831634893031135,0.900525432617494,144.306540929033,8.85950215217231,0.568742867310842
4,8,0.832338584586354,0.901843527232996,141.440006094126,8.77073945543208,0.832102097979794,0.901822178392608,142.51579911997,8.77624525533144,0.56817569732666
4,9,0.831667168467965,0.901426588271765,141.88736870857,8.76909358212181,0.838606574124544,0.905150408106976,138.10142574043,8.77423310827444,0.557783552010854
