repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
1,1,1,3|17,1,52,66,102.043597459271,155.13876589934
1,1,2,12|18,1,24,70,102.574791177348,155.13876589934
1,1,3,9|11,1,56,17,103.362237257683,155.13876589934
1,1,4,2|11,2,80,51,103.708732010908,155.13876589934
1,1,5,20|20,0,22,52,103.776295284063,155.13876589934
1,1,6,17|14,1,58,25,104.310412422161,155.13876589934
1,1,7,12|8,1,67,11,104.311560055251,155.13876589934
1,1,8,20|20,0,21,78,104.435716862796,155.13876589934
1,1,9,16|17,1,23,56,104.800424036897,155.13876589934
1,1,10,7|15,1,42,40,104.878711274245,155.13876589934
14,1,1,3|19,1,41,66,102.057154394259,153.262322167555
14,1,2,3|17,1,52,66,102.257092428415,153.262322167555
14,1,3,12|18,1,24,70,102.383262649436,153.262322167555
14,1,4,20|20,0,21,78,103.791110601298,153.262322167555
14,1,5,16|17,1,24,56,103.80457269155,153.262322167555
14,1,6,20|20,0,20,53,104.075795572212,153.262322167555
14,1,7,12|8,1,67,11,104.290760475618,153.262322167555
14,1,8,9|11,1,56,17,104.313778906887,153.262322167555
14,1,9,7|15,1,44,41,104.659500542628,153.262322167555
14,1,10,16|9,1,26,69,105.751325264929,153.262322167555
7,1,1,3|17,1,52,66,101.392526876871,156.899589482943
7,1,2,12|18,1,24,70,102.06136359227,156.899589482943
7,1,3,2|11,2,80,51,102.873995529055,156.899589482943
7,1,4,12|8,1,67,11,103.388395089472,156.899589482943
7,1,5,16|17,1,24,56,103.681638310241,156.899589482943
7,1,6,20|20,0,16,52,103.990734746927,156.899589482943
7,1,7,9|8,1,56,42,104.129477647517,156.899589482943
7,1,8,20|20,0,21,78,104.222347343776,156.899589482943
7,1,9,20|19,0,10,74,104.252903372914,156.899589482943
7,1,10,9|11,1,56,17,104.592551260563,156.899589482943
5,1,1,3|17,1,52,66,101.259453203169,158.311803980668
5,1,2,12|18,1,24,70,102.536787867062,158.311803980668
5,1,3,8|8,1,53,41,103.409054430312,158.311803980668
5,1,4,20|20,0,21,78,103.57863026259,158.311803980668
5,1,5,20|20,0,12,53,103.608208689899,158.311803980668
5,1,6,2|12,2,80,51,103.695075177007,158.311803980668
5,1,7,9|11,1,56,17,103.861353165694,158.311803980668
5,1,8,16|17,1,27,55,104.014413144305,158.311803980668
5,1,9,20|20,0,57,69,104.280962973705,158.311803980668
5,1,10,12|8,1,67,11,104.802307392953,158.311803980668
10,1,1,3|17,1,52,66,101.616048983183,161.622532133261
10,1,2,9|11,1,56,17,102.359140202453,161.622532133261
10,1,3,12|18,1,24,70,102.918077017865,161.622532133261
10,1,4,2|12,2,80,51,103.04354663202,161.622532133261
10,1,5,20|20,0,21,78,104.078722144183,161.622532133261
10,1,6,20|20,0,22,53,104.29835492246,161.622532133261
10,1,7,17|14,1,58,25,104.392850794984,161.622532133261
10,1,8,16|16,1,26,55,104.504551450356,161.622532133261
10,1,9,8|9,1,51,40,104.529477463378,161.622532133261
10,1,10,12|8,1,67,11,105.047910575546,161.622532133261
15,1,1,3|17,1,52,66,101.260880228597,160.119226781527
15,1,2,12|18,1,24,70,101.936391635028,160.119226781527
15,1,3,2|11,2,79,50,102.237257319489,160.119226781527
15,1,4,9|11,1,56,17,102.770081547119,160.119226781527
15,1,5,16|17,1,25,56,103.654914579674,160.119226781527
15,1,6,20|20,0,21,78,104.125378996926,160.119226781527
15,1,7,20|20,0,56,53,104.413747539659,160.119226781527
15,1,8,17|14,1,58,25,104.870458357308,160.119226781527
15,1,9,9|9,1,44,41,104.883659746001,160.119226781527
15,1,10,12|8,1,67,11,104.968418472928,160.119226781527
12,1,1,3|17,1,52,66,102.198390547627,161.855912967523
12,1,2,12|18,1,24,70,103.193764703472,161.855912967523
12,1,3,20|20,0,12,53,104.557053693867,161.855912967523
12,1,4,16|17,1,27,55,104.743310417084,161.855912967523
12,1,5,17|14,1,58,25,104.766790437296,161.855912967523
12,1,6,2|12,2,79,51,104.767876506929,161.855912967523
12,1,7,20|20,0,21,78,104.904285153861,161.855912967523
12,1,8,9|11,1,56,17,105.051350786514,161.855912967523
12,1,9,16|20,0,5,80,105.331582757431,161.855912967523
12,1,10,20|20,0,7,79,105.374011523797,161.855912967523
4,1,1,3|17,1,52,66,102.220523529345,165.027763434251
4,1,2,2|10,2,64,55,103.642497475971,165.027763434251
4,1,3,12|18,1,24,70,103.947495898657,165.027763434251
4,1,4,17|14,1,58,25,104.212543739828,165.027763434251
4,1,5,16|17,1,25,56,104.342703900719,165.027763434251
4,1,6,20|20,0,21,78,104.53352167494,165.027763434251
4,1,7,9|11,1,56,17,104.534604216824,165.027763434251
4,1,8,17|10,1,26,67,104.694623638991,165.027763434251
4,1,9,12|8,1,67,11,105.164020153347,165.027763434251
4,1,10,13|16,1,35,7,106.147625397898,165.027763434251
11,1,1,3|17,1,52,66,101.367401353191,162.743283263842
11,1,2,2|11,2,78,51,102.848836039369,162.743283263842
11,1,3,12|18,1,24,70,103.414400751858,162.743283263842
11,1,4,9|11,1,56,17,103.881403123081,162.743283263842
11,1,5,20|20,0,21,78,104.235589464404,162.743283263842
11,1,6,15|17,1,26,55,104.386082634336,162.743283263842
11,1,7,20|20,0,26,53,104.548912867452,162.743283263842
11,1,8,19|9,1,25,69,104.841982213286,162.743283263842
11,1,9,17|14,1,58,25,105.030554574345,162.743283263842
11,1,10,8|8,1,51,40,105.119736802652,162.743283263842
9,1,1,3|17,1,52,66,101.092509155689,165.615534130732
9,1,2,12|18,1,24,70,102.589773130746,165.615534130732
9,1,3,9|11,1,56,17,102.783591147959,165.615534130732
9,1,4,17|14,1,58,25,103.459832013983,165.615534130732
9,1,5,16|17,1,27,55,104.128049951851,165.615534130732
9,1,6,20|20,0,21,78,104.162560419217,165.615534130732
9,1,7,16|20,0,3,80,104.5351433039,165.615534130732
9,1,8,6|12,2,79,30,106.032572722599,165.615534130732
9,1,9,20|11,0,40,64,106.21027125659,165.615534130732
9,1,10,12|20,2,80,47,106.290799757415,165.615534130732
19,1,1,3|17,1,52,66,101.468791934618,162.242206017176
19,1,2,12|18,1,24,70,102.916451190259,162.242206017176
19,1,3,9|11,1,56,17,103.50890587048,162.242206017176
19,1,4,8|9,1,52,40,104.116631944175,162.242206017176
19,1,5,20|20,0,17,52,104.141668580054,162.242206017176
19,1,6,17|14,1,58,25,104.480528239986,162.242206017176
19,1,7,15|17,1,25,55,104.540141328371,162.242206017176
19,1,8,20|20,0,21,78,104.883392619609,162.242206017176
19,1,9,17|20,0,57,70,105.00768500857,162.242206017176
19,1,10,12|8,1,67,11,105.514980415178,162.242206017176
18,1,1,3|17,1,52,66,101.365465090574,162.811279014746
18,1,2,12|18,1,24,70,101.595401652181,162.811279014746
18,1,3,17|14,1,58,25,103.403164423309,162.811279014746
18,1,4,9|11,1,56,17,103.455738331564,162.811279014746
18,1,5,16|17,1,25,55,103.456404098938,162.811279014746
18,1,6,20|20,0,22,53,103.575934132098,162.811279014746
18,1,7,20|20,0,21,78,103.612557689013,162.811279014746
18,1,8,12|8,1,67,11,104.180621400965,162.811279014746
18,1,9,2|11,2,79,51,104.259040640981,162.811279014746
18,1,10,9|15,2,37,54,105.411008566793,162.811279014746
8,1,1,3|17,1,52,66,101.053138297474,167.846699082851
8,1,2,8|9,1,44,40,102.705545358015,167.846699082851
8,1,3,12|18,1,24,70,102.945688056647,167.846699082851
8,1,4,15|17,1,26,55,103.447319162398,167.846699082851
8,1,5,9|11,1,56,17,103.815864233731,167.846699082851
8,1,6,20|20,0,23,51,103.855756385696,167.846699082851
8,1,7,20|20,0,21,78,103.992641578499,167.846699082851
8,1,8,17|14,1,58,25,104.525386676909,167.846699082851
8,1,9,13|16,1,35,7,105.878301198552,167.846699082851
8,1,10,13|20,2,80,47,106.306797164693,167.846699082851
2,1,1,3|17,1,52,66,102.135743429508,172.778390419483
2,1,2,12|18,1,24,70,102.529414843574,172.778390419483
2,1,3,18|20,1,29,69,103.044789439946,172.778390419483
2,1,4,12|8,1,67,11,103.944592267269,172.778390419483
2,1,5,20|20,0,21,78,104.043367685348,172.778390419483
2,1,6,9|11,1,56,17,104.058987830579,172.778390419483
2,1,7,18|10,1,25,59,104.610083070897,172.778390419483
2,1,8,17|14,1,58,25,104.737726135382,172.778390419483
2,1,9,18|18,0,68,75,104.826020747929,172.778390419483
2,1,10,12|20,2,80,47,105.274347578237,172.778390419483
17,1,1,3|17,1,52,66,102.117895241121,169.521023567518
17,1,2,12|18,1,24,70,102.652267144507,169.521023567518
17,1,3,2|11,2,80,51,102.783703945453,169.521023567518
17,1,4,9|11,1,56,17,102.805989779511,169.521023567518
17,1,5,16|17,1,24,56,103.871914715861,169.521023567518
17,1,6,20|20,0,18,52,104.13244748838,169.521023567518
17,1,7,20|20,0,21,78,104.339655053777,169.521023567518
17,1,8,9|8,1,51,41,104.347209394053,169.521023567518
17,1,9,12|8,1,67,11,104.530000596234,169.521023567518
17,1,10,17|14,1,58,25,104.70163673571,169.521023567518
3,1,1,3|17,1,52,66,101.311498892058,176.198636897405
3,1,2,12|18,1,24,70,102.385422484895,176.198636897405
3,1,3,2|11,2,80,50,103.226040594078,176.198636897405
3,1,4,9|11,1,56,17,103.45230292014,176.198636897405
3,1,5,20|20,0,21,78,103.657672949584,176.198636897405
3,1,6,20|20,0,42,52,103.720242663278,176.198636897405
3,1,7,17|14,1,58,25,103.966224402063,176.198636897405
3,1,8,12|8,1,67,11,104.495368546759,176.198636897405
3,1,9,12|20,2,80,47,105.817238851052,176.198636897405
3,1,10,15|16,1,29,54,105.847513616998,176.198636897405
16,1,1,3|17,1,52,66,101.49840753564,174.535640851657
16,1,2,12|18,1,24,70,102.369425617823,174.535640851657
16,1,3,9|11,1,56,17,103.528122996858,174.535640851657
16,1,4,20|20,0,27,77,103.794473575769,174.535640851657
16,1,5,9|18,1,40,44,104.047025715621,174.535640851657
16,1,6,17|14,1,58,25,104.133892939092,174.535640851657
16,1,7,20|20,0,21,78,104.136045146908,174.535640851657
16,1,8,12|8,1,67,11,105.152162580168,174.535640851657
16,1,9,9|15,2,37,54,105.239444892465,174.535640851657
16,1,10,19|10,1,24,58,105.299224944091,174.535640851657
6,1,1,3|17,1,52,66,101.821938202794,178.982962115606
6,1,2,12|18,1,24,70,102.878339718763,178.982962115606
6,1,3,9|11,1,56,17,103.120177039897,178.982962115606
6,1,4,15|17,1,26,55,103.518171634098,178.982962115606
6,1,5,20|20,0,22,53,103.601191351797,178.982962115606
6,1,6,18|19,0,58,44,104.15007962587,178.982962115606
6,1,7,17|14,1,58,25,104.264683837785,178.982962115606
6,1,8,20|20,0,21,78,104.365272474856,178.982962115606
6,1,9,12|8,1,67,11,104.807242165233,178.982962115606
6,1,10,20|9,1,23,67,104.841008775857,178.982962115606
13,1,1,3|17,1,52,66,101.401030720628,177.88352761666
13,1,2,12|18,1,24,70,102.172867555403,177.88352761666
13,1,3,2|20,2,57,60,102.243026188432,177.88352761666
13,1,4,9|11,1,56,17,102.85154121193,177.88352761666
13,1,5,19|20,1,29,56,103.566293046295,177.88352761666
13,1,6,20|20,0,21,78,103.687816712926,177.88352761666
13,1,7,12|8,1,67,11,103.929443452272,177.88352761666
13,1,8,17|14,1,58,25,104.401843687902,177.88352761666
13,1,9,18|10,1,25,59,104.695389400051,177.88352761666
13,1,10,13|16,1,35,7,105.424641194328,177.88352761666
20,1,1,3|17,1,52,66,101.27083594825,178.708550683657
20,1,2,12|18,1,24,70,102.386553264467,178.708550683657
20,1,3,9|11,1,56,17,102.565033855907,178.708550683657
20,1,4,20|20,0,24,51,103.771018500479,178.708550683657
20,1,5,20|20,0,21,78,103.898807448141,178.708550683657
20,1,6,16|17,1,25,56,104.323846609509,178.708550683657
20,1,7,12|8,1,67,11,104.501290152698,178.708550683657
20,1,8,17|14,1,58,25,104.893458152823,178.708550683657
20,1,9,6|12,2,79,30,105.76669988169,178.708550683657
20,1,10,9|15,2,37,54,106.178800131981,178.708550683657
14,2,1,3|17,1,52,66,101.639009825195,156.942180732886
14,2,2,12|18,1,24,70,102.188846735146,156.942180732886
14,2,3,20|20,0,19,53,103.568715956551,156.942180732886
14,2,4,9|11,1,56,17,103.923154385378,156.942180732886
14,2,5,16|17,1,26,55,103.984524625256,156.942180732886
14,2,6,20|20,0,60,69,104.086645182764,156.942180732886
14,2,7,12|8,1,67,11,104.181442869747,156.942180732886
14,2,8,20|20,0,21,78,104.442759399356,156.942180732886
14,2,9,8|8,1,50,41,105.070607927096,156.942180732886
14,2,10,9|15,2,37,54,105.50257423145,156.942180732886
5,2,1,3|17,1,52,66,102.061104159676,161.376395515601
5,2,2,9|11,1,56,17,103.228958605702,161.376395515601
5,2,3,12|18,1,24,70,103.424360368412,161.376395515601
5,2,4,20|20,0,16,52,104.291059067209,161.376395515601
5,2,5,17|14,1,58,25,104.5538780457,161.376395515601
5,2,6,20|20,0,21,78,104.636892967903,161.376395515601
5,2,7,16|17,1,25,56,104.730184582212,161.376395515601
5,2,8,9|9,1,51,41,104.972776546067,161.376395515601
5,2,9,12|8,1,67,11,105.084330441894,161.376395515601
5,2,10,2|12,2,80,51,105.715844177129,161.376395515601
12,2,1,3|17,1,52,66,102.03295928424,154.389574285348
12,2,2,12|18,1,24,70,102.424421438733,154.389574285348
12,2,3,10|10,1,51,42,103.399887734372,154.389574285348
12,2,4,9|11,1,56,17,103.541840166561,154.389574285348
12,2,5,17|14,1,58,25,104.313045824234,154.389574285348
12,2,6,20|20,0,21,78,104.454731261748,154.389574285348
12,2,7,17|17,1,23,57,104.52648739555,154.389574285348
12,2,8,2|12,2,80,51,104.835352036609,154.389574285348
12,2,9,12|8,1,67,11,105.339107057051,154.389574285348
12,2,10,20|19,0,22,51,105.517079031701,154.389574285348
4,2,1,3|17,1,52,66,101.16981674617,160.226594618956
4,2,2,12|18,1,24,70,102.655501365362,160.226594618956
4,2,3,9|11,1,56,17,103.333899861445,160.226594618956
4,2,4,9|9,1,53,41,103.521703407101,160.226594618956
4,2,5,20|20,0,32,52,103.624068590764,160.226594618956
4,2,6,17|14,1,58,25,103.7157405306,160.226594618956
4,2,7,20|20,0,60,69,103.732622409584,160.226594618956
4,2,8,20|20,0,21,78,103.740498195708,160.226594618956
4,2,9,16|17,1,25,56,103.942621744254,160.226594618956
4,2,10,12|8,1,67,11,104.110712660308,160.226594618956
15,2,1,3|17,1,52,66,101.856985084647,162.819273666541
15,2,2,9|11,1,56,17,102.725886889054,162.819273666541
15,2,3,12|18,1,24,70,102.772953901314,162.819273666541
15,2,4,20|20,0,58,69,103.58629286949,162.819273666541
15,2,5,20|20,0,21,78,103.88570662605,162.819273666541
15,2,6,2|11,2,80,51,103.8886579255,162.819273666541
15,2,7,20|20,0,22,53,103.889001842456,162.819273666541
15,2,8,17|14,1,58,25,104.108813799947,162.819273666541
15,2,9,16|17,1,26,55,104.213500963903,162.819273666541
15,2,10,12|8,1,67,11,104.761116462656,162.819273666541
10,2,1,3|17,1,52,66,101.324771618321,167.583465532462
10,2,2,12|18,1,24,70,101.901432685035,167.583465532462
10,2,3,20|20,0,21,78,103.443515434299,167.583465532462
10,2,4,17|16,1,25,56,103.489245547425,167.583465532462
10,2,5,20|20,0,39,53,103.632095786893,167.583465532462
10,2,6,10|9,1,59,42,103.674771683433,167.583465532462
10,2,7,12|8,1,67,11,103.819723217691,167.583465532462
10,2,8,18|9,1,24,69,104.219347860519,167.583465532462
10,2,9,9|15,2,37,54,105.51560723417,167.583465532462
10,2,10,9|11,1,56,17,105.802834830057,167.583465532462
8,2,1,3|17,1,52,66,101.406218253387,160.434812752406
8,2,2,12|18,1,24,70,102.762060303056,160.434812752406
8,2,3,16|17,1,25,56,103.755010158499,160.434812752406
8,2,4,20|20,0,21,78,103.95206174682,160.434812752406
8,2,5,9|11,1,56,17,104.048834936552,160.434812752406
8,2,6,7|15,1,45,41,104.225870543422,160.434812752406
8,2,7,17|8,1,25,70,104.298493999877,160.434812752406
8,2,8,20|19,0,28,52,104.465128792089,160.434812752406
8,2,9,17|14,1,58,25,104.520951086777,160.434812752406
8,2,10,12|8,1,67,11,104.737976007434,160.434812752406
19,2,1,3|17,1,52,66,101.756257709468,167.530246949196
19,2,2,12|18,1,24,70,103.357511780942,167.530246949196
19,2,3,9|11,1,56,17,103.590912562679,167.530246949196
19,2,4,17|14,1,58,25,104.109232414144,167.530246949196
19,2,5,20|20,0,63,45,104.229319225728,167.530246949196
19,2,6,12|8,1,67,11,104.47436205578,167.530246949196
19,2,7,8|9,1,53,40,104.58837563121,167.530246949196
19,2,8,20|20,0,72,70,104.591761344651,167.530246949196
19,2,9,20|20,0,21,78,104.688054972407,167.530246949196
19,2,10,16|16,1,27,55,105.210069952066,167.530246949196
16,2,1,3|17,1,52,66,101.599593371419,159.686252534389
16,2,2,12|18,1,24,70,102.377068434811,159.686252534389
16,2,3,9|11,1,56,17,103.288659191457,159.686252534389
16,2,4,20|20,0,24,53,103.806462317399,159.686252534389
16,2,5,20|20,0,54,69,103.816612568659,159.686252534389
16,2,6,2|12,2,78,51,103.887125193853,159.686252534389
16,2,7,20|20,0,21,78,104.132583582111,159.686252534389
16,2,8,12|8,1,67,11,104.406212485515,159.686252534389
16,2,9,17|14,1,58,25,104.682491856687,159.686252534389
16,2,10,16|17,1,26,55,105.172702947175,159.686252534389
7,2,1,3|17,1,52,66,101.66741032574,188.046184066931
7,2,2,12|18,1,24,70,102.229597650187,188.046184066931
7,2,3,9|11,1,56,17,103.283234155776,188.046184066931
7,2,4,9|9,1,53,42,103.283928740189,188.046184066931
7,2,5,20|20,0,21,78,104.175787041041,188.046184066931
7,2,6,20|20,0,27,69,104.411689805213,188.046184066931
7,2,7,17|17,1,23,57,104.697962081553,188.046184066931
7,2,8,17|14,1,58,25,104.962192006266,188.046184066931
7,2,9,12|8,1,67,11,105.679030938677,188.046184066931
7,2,10,9|15,2,37,54,106.116762346614,188.046184066931
2,2,1,3|17,1,52,66,101.658561757334,175.83587508599
