repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins,pred.type
7,1,0.908008569451655,0.945735723695243,84.3513317297728,5.95134126168602,0.880708880496339,0.929433006464481,107.159315697102,6.81655527590618,105.49067753156,avg
7,1,0.908060735816097,0.945774518008227,84.3026332687111,5.94990192580887,0.880759938198265,0.929476778857996,107.110795764709,6.81496511892207,105.49067753156,wavg
15,1,0.908544966211834,0.945390806646835,84.4998972146899,5.94332287145186,0.854546557600164,0.919253595616906,123.932945042079,7.3524385033978,105.898590668043,avg
15,1,0.908569920872781,0.945419250697424,84.4711962048501,5.94476164824037,0.854605119316215,0.919295263667323,123.89840575436,7.35247461391083,105.898590668043,wavg
8,1,0.910143579043796,0.947812989987877,80.740061792415,5.92444968312648,0.874583121298435,0.922625144633589,130.265792014341,7.35506755712714,109.841570651531,avg
8,1,0.91013405486787,0.947810211205684,80.7472176491104,5.92620356593952,0.874635894719449,0.922664084483021,130.213184649629,7.35451961068298,109.841570651531,wavg
2,1,0.91673137267791,0.950866559363391,76.9136091008753,5.70330958899073,0.877986361840173,0.928818245712209,111.812679025758,7.24429781131315,113.824879336357,avg
2,1,0.916662853369655,0.950818819269773,76.976834094473,5.70793652079101,0.878025460246065,0.928828042536297,111.785562586506,7.24444803245152,113.824879336357,wavg
12,1,0.90910290090001,0.946895926995847,83.9025664997192,5.94554022642902,0.885598688538711,0.933885032364886,95.1767537211364,6.62526112341151,110.745348083973,avg
12,1,0.909052538338187,0.946861952366124,83.9482817745971,5.94746407278834,0.885592175885944,0.933878706971726,95.1816708286025,6.62648792940009,110.745348083973,wavg
10,1,0.906927978676823,0.944892475050802,83.6582872413328,5.94636150217246,0.896286729319674,0.932441206513628,115.370240582769,6.98551631073785,112.322909251849,avg
10,1,0.90692470790634,0.944893844668998,83.6595037982104,5.94801818954334,0.89637885080315,0.93250508997414,115.276376199359,6.98365718400825,112.322909251849,wavg
3,1,0.91600975923911,0.951130033337,77.3657551428794,5.62506639544884,0.844836535724427,0.91065569827231,132.575559389525,7.7785316342617,115.820766576131,avg
3,1,0.916030037913514,0.951143402360896,77.3480232345927,5.62514854188863,0.844848068130213,0.910662464771698,132.566497018241,7.77812007297653,115.820766576131,wavg
5,1,0.91490794308353,0.949466927055696,79.152660179015,5.6976962960886,0.863505270344663,0.918923565038853,114.547694329559,7.19274911494565,115.533269230525,avg
5,1,0.91496561633629,0.949501530283612,79.1037082172023,5.69594365381623,0.863493054569439,0.918920353840095,114.554937390481,7.19236631090935,115.533269230525,wavg
16,1,0.913321077200575,0.948559132415335,80.9256292751987,5.83382633268961,0.880925154840302,0.932152642403068,95.0585093341599,6.48633234462237,114.140453974406,avg
16,1,0.91329013319604,0.948537667420032,80.9538424787866,5.83519744885062,0.880952365104788,0.932164766219927,95.0390733051093,6.48569832902931,114.140453974406,wavg
20,1,0.917169620753246,0.952145447507917,76.1142589278456,5.651811560166,0.856718313194192,0.919043983999709,126.264937683771,7.3983528605576,112.907648364703,avg
20,1,0.917180936298214,0.952156974430311,76.1022935996786,5.6529030601127,0.856749791895982,0.9190651875853,126.241873167494,7.39733739992347,112.907648364703,wavg
1,1,0.912818133384742,0.949019257267938,78.8895220025536,5.70775329749628,0.848786526079009,0.909611266959088,148.54073710372,8.03788697237496,119.658196763198,avg
1,1,0.912846929748651,0.949043336185923,78.8623663698281,5.70775537738468,0.848874626687288,0.909674364537866,148.459900966417,8.03636301177222,119.658196763198,wavg
4,1,0.911117276306673,0.947935022419622,81.8868817071723,5.85533133509287,0.88537935568941,0.934930860559502,98.4764626065173,6.69894758815985,119.1078023235,avg
4,1,0.911055884794876,0.947892802038959,81.9417462347683,5.85859012593186,0.885405659757308,0.934938512369961,98.457156103303,6.69882958947506,119.1078023235,wavg
14,1,0.91000902068301,0.94741639861474,81.7187003845388,5.88407367266272,0.858117800644105,0.916114251024663,132.715611146377,7.76136439593353,117.158495191733,avg
14,1,0.910028913193301,0.947433896445836,81.6992445149621,5.88480377249253,0.858156684402128,0.916138482320942,132.682512108525,7.76022300737111,117.158495191733,wavg
9,1,0.910889625519745,0.948261319256199,81.4576300934147,5.89641328670569,0.891510632421576,0.9375979982118,98.0608038503011,6.56206406849756,119.051241425673,avg
9,1,0.910869951072176,0.948249288239561,81.4743058508648,5.89786533790944,0.89152037199492,0.937602566686977,98.0521673895148,6.56170676745696,119.051241425673,wavg
6,1,0.913483373176848,0.948983501524196,79.9529078907902,5.84515473855366,0.879213848457732,0.932179922509865,105.367253445016,6.73881808877072,120.286383807659,avg
6,1,0.913487630863193,0.948990070564946,79.9475805757241,5.84554938883083,0.879226688379398,0.932189746363208,105.35945478929,6.73863591678099,120.286383807659,wavg
13,1,0.910353104618315,0.94752254465741,82.5270646840641,6.00368084885124,0.890944485469011,0.938798367640748,94.5353260395544,6.60160783448462,119.416194665432,avg
13,1,0.910282038134567,0.947484958915838,82.5832110399434,6.00794394068632,0.890980558712638,0.938818029500259,94.5051906061875,6.60038032000063,119.416194665432,wavg
19,1,0.9131541496199,0.949449656765036,79.6260191424572,5.77471944603788,0.870971990449732,0.926334314257821,114.453353832356,7.08058920404339,118.39120216767,avg
19,1,0.913156899002017,0.949459184786775,79.6215250908232,5.7762607109144,0.871040017309969,0.926383954095865,114.400733478863,7.08023955860287,118.39120216767,wavg
11,1,0.911407661580461,0.94766865759361,80.6601516924468,5.79701344587145,0.865453790130635,0.918515246505888,130.855841048824,7.35840011725807,122.460062177976,avg
