repetition,cviter,trial,num.layers,units1,units2,units3,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
1,1,1,1,14,15,41,TRUE,0.133016536920696,0.166377026768981,0.415696232832775,116.420371958624,35.1653416991234
1,1,2,1,15,51,34,TRUE,0.257677650629194,0.371485578519059,0.112695620881277,116.558105065127,35.1653416991234
1,1,3,1,40,33,48,TRUE,0.312819105328526,0.320473767144722,0.389289561248734,116.760415873395,35.1653416991234
1,1,4,1,51,44,39,TRUE,0.44320238159853,0.383881194889545,0.218579735589447,116.934896739263,35.1653416991234
1,1,5,1,16,32,41,TRUE,0.362694981630433,0.174820176704263,0.392533955420751,117.714099616258,35.1653416991234
1,1,6,1,14,15,45,TRUE,0.260549153157056,0.219527639787625,0.384154337292659,117.785395488438,35.1653416991234
1,1,7,1,30,30,30,TRUE,0.294399862244609,0.290770385047654,0.380375481920783,117.894191382043,35.1653416991234
1,1,8,1,23,64,35,TRUE,0.184135486369254,0.369707480424915,0.121748907379323,118.333346216507,35.1653416991234
1,1,9,1,25,54,29,TRUE,0.219652302983956,0.151783345513536,0.116095274560552,118.49146279403,35.1653416991234
1,1,10,1,13,21,47,TRUE,0.361862145326752,0.100740314282372,0.47242331580517,118.656433746955,35.1653416991234
3,1,1,1,15,56,35,TRUE,0.251086436673133,0.371038715693473,0.116372598420918,116.87143335035,35.3462080637614
3,1,2,1,40,33,48,TRUE,0.312819105328526,0.320473767144722,0.389289561248734,116.972493360501,35.3462080637614
3,1,3,1,53,36,32,TRUE,0.181007392401807,0.157711228053086,0.337000154235284,117.651517623621,35.3462080637614
3,1,4,1,51,44,39,TRUE,0.44320238159853,0.383881194889545,0.218579735589447,117.67211933138,35.3462080637614
3,1,5,2,23,63,44,TRUE,0.123771841838607,0.456567904769327,0.308219984162133,117.703536831577,35.3462080637614
3,1,6,1,47,39,9,TRUE,0.369026964700062,0.136813808207156,0.419046854653855,118.062229565069,35.3462080637614
