repetition,cviter,trial,num.layers,units1,units2,units3,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
1,1,1,1,31,43,21,TRUE,0.371142015699297,0.316462884677458,0.298848254384939,100.087045906864,83.1173887848854
1,1,2,1,59,10,34,TRUE,0.139531477387828,0.33266677489037,0.233922521720529,100.331654313446,83.1173887848854
1,1,3,1,58,10,33,TRUE,0.141313893807819,0.335846537785255,0.30006775521033,100.385863635131,83.1173887848854
1,1,4,3,59,27,55,TRUE,0.173284148972266,0.441013627976362,0.342026107456162,100.538698046077,83.1173887848854
1,1,5,1,57,45,14,TRUE,0.169668035738869,0.238254913012497,0.432192970113829,100.568891763642,83.1173887848854
1,1,6,3,57,27,26,TRUE,0.190657816846411,0.439655596310982,0.216028500179102,100.764926304973,83.1173887848854
1,1,7,3,49,35,15,TRUE,0.242012732295552,0.37897445448034,0.156962885259418,100.980372435417,83.1173887848854
1,1,8,2,63,31,60,TRUE,0.216338702809298,0.472577678412199,0.203431862371508,101.102332957632,83.1173887848854
1,1,9,3,63,29,54,TRUE,0.124711109326685,0.443971573727262,0.225807789353608,101.183423445734,83.1173887848854
1,1,10,1,61,58,55,FALSE,0.325794461512123,0.102651822788175,0.129123433929635,101.445890738084,83.1173887848854
4,1,1,1,58,10,33,TRUE,0.141313893807819,0.335846537785255,0.30006775521033,100.407298576594,82.9352560480436
4,1,2,1,57,45,14,TRUE,0.169668035738869,0.238254913012497,0.432192970113829,101.02268045249,82.9352560480436
4,1,3,2,58,41,47,TRUE,0.16587100387014,0.460582638666664,0.21700785251183,101.239596374561,82.9352560480436
4,1,4,1,59,42,53,TRUE,0.156189433136379,0.462088357672441,0.216204571915674,101.398751196612,82.9352560480436
4,1,5,2,63,31,60,TRUE,0.216338702809298,0.472577678412199,0.203431862371508,101.409914024517,82.9352560480436
4,1,6,1,31,43,21,TRUE,0.371142015699297,0.316462884677458,0.298848254384939,101.576581196943,82.9352560480436
4,1,7,1,8,21,54,TRUE,0.225851800365751,0.48172784137209,0.210128747816262,101.807757522339,82.9352560480436
4,1,8,3,23,53,44,TRUE,0.349201901486958,0.342507621942786,0.276554623502307,101.80897999355,82.9352560480436
4,1,9,3,11,27,43,TRUE,0.399677508280729,0.169224739924539,0.11815160336555,101.838068808174,82.9352560480436
4,1,10,3,49,35,15,TRUE,0.242012732295552,0.37897445448034,0.156962885259418,101.88199451374,82.9352560480436
2,1,1,2,63,42,60,TRUE,0.216271012953229,0.464947935123189,0.205959387264285,99.2977574653881,84.1362529357274
2,1,2,2,63,31,60,TRUE,0.216338702809298,0.472577678412199,0.203431862371508,99.984973060135,84.1362529357274
2,1,3,2,64,15,33,TRUE,0.131286266787828,0.452603937722207,0.208610800319127,100.027878012645,84.1362529357274
2,1,4,1,58,10,33,TRUE,0.141313893807819,0.335846537785255,0.30006775521033,100.065002614015,84.1362529357274
2,1,5,2,63,42,60,TRUE,0.213994802966784,0.462358716009392,0.169832620485231,100.130882650768,84.1362529357274
2,1,6,1,31,43,21,TRUE,0.371142015699297,0.316462884677458,0.298848254384939,100.166747427946,84.1362529357274
2,1,7,1,57,45,14,TRUE,0.169668035738869,0.238254913012497,0.432192970113829,100.2797125135,84.1362529357274
2,1,8,2,21,62,63,TRUE,0.458123471122235,0.1819175112003,0.384321945818374,100.498844704151,84.1362529357274
2,1,9,3,49,35,15,TRUE,0.242012732295552,0.37897445448034,0.156962885259418,100.550851799976,84.1362529357274
2,1,10,1,61,16,28,FALSE,0.295333193356055,0.145713053076179,0.25364494776295,100.847021591448,84.1362529357274
3,1,1,3,54,62,25,TRUE,0.193145867999254,0.390092596922738,0.163202727791413,99.2200188779114,87.3522517164548
3,1,2,2,63,31,60,TRUE,0.216338702809298,0.472577678412199,0.203431862371508,100.082323747315,87.3522517164548
3,1,3,2,62,35,26,TRUE,0.200418160673431,0.450962247424995,0.211192742975714,100.146645221423,87.3522517164548
3,1,4,3,62,33,63,TRUE,0.207676528715476,0.489902390453228,0.226727983076529,100.38927735922,87.3522517164548
3,1,5,1,58,10,33,TRUE,0.141313893807819,0.335846537785255,0.30006775521033,100.455043443902,87.3522517164548
3,1,6,1,57,45,14,TRUE,0.169668035738869,0.238254913012497,0.432192970113829,100.498332998697,87.3522517164548
