repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
5,1,5,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,110.172905567821,257.789984031518
5,1,6,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,110.184160306139,257.789984031518
5,1,7,15|5|14|9|8|14|17|3|5|9|7|14|10|18|14|13|17|16|6|8|10|8|6|19|7|14|10|5|6,0,31,66,TRUE,0.406915524568952,0.248560213390091,0.447355633691445,110.190806013013,257.789984031518
5,1,8,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,110.327854033202,257.789984031518
5,1,9,4|2|4|20|3|11|11|5|2|12|19|3|14|5|17|9|16|10|4|17|13|4|2|8|20|19|7|12|20,2,51,44,TRUE,0.25273961247941,0.481230765543619,0.365896343137784,110.455485043074,257.789984031518
5,1,10,14|20|4|6|3|4|8|6|8|10|2|17|13|3|12|13|2|12|7|8|8|13|6|4|13|15|12|13|13,2,35,55,TRUE,0.355161847571273,0.49886621397713,0.30305527487524,110.536139440414,257.789984031518
14,1,1,20|9|11|15|14|16|18|20|4|8|14|7|10|10|7|16|15|3|19|7|11|15|8|15|5|12|18|17|19,0,59,49,TRUE,0.222124785300584,0.30788179787673,0.487559941025557,105.39984280448,256.145905764898
14,1,2,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,105.421361861691,256.145905764898
14,1,3,15|5|14|9|8|14|17|3|5|9|7|14|10|18|14|13|17|16|6|8|10|8|6|19|7|14|10|5|6,0,31,66,TRUE,0.406915524568952,0.248560213390091,0.447355633691445,105.902431681157,256.145905764898
14,1,4,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,106.124068469291,256.145905764898
14,1,5,19|8|12|12|5|16|9|10|8|11|20|14|7|15|8|14|6|13|11|15|6|16|4|5|8|11|20|9|8,2,36,43,TRUE,0.197176023962028,0.188926948559108,0.478845143400314,106.155087665366,256.145905764898
14,1,6,20|16|9|8|14|13|10|20|7|4|13|6|16|6|9|13|9|10|9|2|16|17|5|5|5|16|18|9|8,0,29,73,TRUE,0.281521616708899,0.197393897787413,0.225153724910775,106.670229613063,256.145905764898
14,1,7,10|8|6|16|7|20|20|5|17|4|5|6|17|12|16|6|7|6|8|2|10|7|9|9|16|15|18|16|16,0,36,76,TRUE,0.197095191319172,0.41752997563741,0.49397877023957,106.712548042446,256.145905764898
14,1,8,15|19|11|11|13|6|13|16|3|8|3|10|4|5|19|5|2|14|19|4|11|17|16|13|10|10|18|4|10,0,30,68,TRUE,0.177619448328409,0.256892651347548,0.421033908352807,106.769304046497,256.145905764898
14,1,9,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,106.956074501558,256.145905764898
14,1,10,11|4|6|3|10|16|5|7|10|3|14|18|4|19|11|20|20|19|6|4|12|4|19|14|4|17|12|13|8,0,43,34,TRUE,0.376167552285026,0.272481600380787,0.171101329285496,107.256798456177,256.145905764898
7,1,1,16|6|18|15|16|10|14|6|18|12|4|15|7|5|17|17|15|16|13|7|8|11|9|17|2|13|16|3|13,0,42,46,TRUE,0.355180809673402,0.472841621657875,0.25635480200572,109.319168672902,261.421929482619
7,1,2,13|13|17|9|9|15|12|8|6|8|3|7|6|3|10|16|10|14|8|6|18|10|8|13|10|2|17|18|7,0,40,62,TRUE,0.313883376257315,0.487268661096772,0.452451824051591,109.851019058316,261.421929482619
7,1,3,14|20|4|6|3|4|8|6|8|10|2|17|13|3|12|13|2|12|7|8|8|13|6|4|13|15|12|13|13,2,35,55,TRUE,0.355161847571273,0.49886621397713,0.30305527487524,110.182780899596,261.421929482619
7,1,4,14|8|4|17|5|8|2|14|19|2|13|12|8|3|18|5|5|7|20|4|15|16|18|17|11|12|11|14|11,2,65,37,FALSE,0.178437048493005,0.171722803099935,0.26377308342166,110.210436501341,261.421929482619
7,1,5,18|3|13|10|10|18|8|6|12|14|19|12|6|3|5|10|13|3|10|12|5|11|2|14|14|19|15|11|12,0,44,51,TRUE,0.481211401804931,0.386345539542663,0.388569856826665,110.83077318376,261.421929482619
7,1,6,15|14|7|20|18|7|12|16|5|2|2|3|10|4|10|3|3|3|3|18|18|2|9|7|3|11|20|20|4,2,30,58,FALSE,0.168190250506935,0.297261843483688,0.101639189034985,110.913668233344,261.421929482619
7,1,7,19|8|12|12|5|16|9|10|8|11|20|14|7|15|8|14|6|13|11|15|6|16|4|5|8|11|20|9|8,2,36,43,TRUE,0.197176023962028,0.188926948559108,0.478845143400314,110.916113407171,261.421929482619
7,1,8,9|11|6|7|8|3|17|5|3|2|9|11|19|7|18|10|15|8|3|5|11|18|4|15|6|11|16|12|16,0,43,76,TRUE,0.397970541376778,0.116531732315084,0.496387764707269,111.180152327433,261.421929482619
7,1,9,15|12|16|5|12|16|13|11|10|11|7|2|10|9|20|12|9|9|6|3|9|9|9|16|2|7|16|9|4,0,37,57,TRUE,0.162491642036793,0.403625946462018,0.25451860538373,111.246636701208,261.421929482619
7,1,10,16|8|19|16|9|12|18|5|11|19|6|17|20|4|16|16|10|2|10|10|18|9|2|10|17|18|6|5|4,0,44,70,TRUE,0.415733451867062,0.427244742786408,0.351146365801752,111.267474691909,261.421929482619
4,1,1,15|5|14|9|8|14|17|3|5|9|7|14|10|18|14|13|17|16|6|8|10|8|6|19|7|14|10|5|6,0,31,66,TRUE,0.406915524568952,0.248560213390091,0.447355633691445,110.687911170428,262.690567382177
4,1,2,15|8|18|17|13|5|17|6|8|16|14|9|4|15|17|12|10|18|7|15|12|11|12|7|20|11|19|5|13,0,63,62,TRUE,0.391972311944662,0.447886872869947,0.494726050627043,110.888212222349,262.690567382177
4,1,3,18|14|8|15|10|20|8|10|7|16|6|14|11|13|18|14|2|9|7|7|11|13|20|13|3|12|11|19|3,0,48,49,TRUE,0.377673251942547,0.3124096704734,0.221637547202859,111.325704264764,262.690567382177
4,1,4,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,111.498905525656,262.690567382177
