repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins,pred.type
6,1,0.928672227170018,0.950638621146791,73.0733574766274,5.80270355421302,0.87162355040141,0.913005041703607,116.477611625477,8.24515325664987,32.957491393884,avg
6,1,0.92890744729403,0.950848457509385,72.8131672995044,5.79539581672999,0.871967085944168,0.913163901466232,116.346714834736,8.2426892442844,32.957491393884,wavg
10,1,0.926484203858084,0.949407407434326,73.0342834160703,5.77692161190001,0.877690414548754,0.907616524429994,134.337202615069,8.7165686836071,35.5369955857595,avg
10,1,0.926558731855859,0.949397969936663,73.0144332776164,5.78150814900068,0.877569458362162,0.907416220045427,134.542832196971,8.72512620158551,35.5369955857595,wavg
2,1,0.928737116524063,0.951901026661725,72.8816607761747,5.80087469254912,0.815867901019533,0.897602682224258,125.713673346887,8.42665902477837,38.5060858011246,avg
2,1,0.92891077889048,0.952018694645868,72.7253232901939,5.7937745313219,0.815556658189469,0.897467672882262,125.872997712364,8.42552646503155,38.5060858011246,wavg
8,1,0.90737537917566,0.935895719412734,89.8900582830731,6.52752702937142,0.887956457602878,0.911624391684928,123.207380444036,7.48262400404857,39.0538885474205,avg
8,1,0.907433377620699,0.935865593714079,89.8953869930912,6.53097015392623,0.887754216834968,0.911382930573427,123.449031867228,7.48750929746426,39.0538885474205,wavg
1,1,0.920029510689391,0.945221608417255,80.9599285520858,6.1388884359356,0.870137501245804,0.924724483946198,94.7510713997705,7.61296714207202,43.0555653532346,avg
1,1,0.919945802463397,0.945144243714841,81.0559847887902,6.14163090134613,0.870458258054168,0.92487497442052,94.518797696667,7.60760689031839,43.0555653532346,wavg
13,1,0.929705397294885,0.9539054425825,68.8474607020433,5.51074409558577,0.817454263816915,0.871349276933847,172.211686127818,8.26332295327044,39.1752241492271,avg
13,1,0.929876100599283,0.954067241404966,68.6550347677586,5.50523974649823,0.817903682715884,0.871433098288931,172.004380493426,8.25752691606621,39.1752241492271,wavg
14,1,0.931814617624761,0.952979489106293,67.8384194499894,5.5352073498627,0.896158099496792,0.926786564240807,119.06557943167,7.75449534075211,40.1329120477041,avg
14,1,0.932078755417669,0.953198315281601,67.5742982289141,5.5273277828344,0.896052355850938,0.926805358366282,119.081500828941,7.76629479209316,40.1329120477041,wavg
15,1,0.931837434282194,0.951843171754236,70.0062720784582,5.71550141432381,0.818015432923362,0.87177022156075,166.907537086103,8.22814109126472,41.6836599548658,avg
15,1,0.931886019802441,0.951844455103812,69.993990044541,5.71383489168463,0.817567734393078,0.871419833865545,167.262985439564,8.23652179137142,41.6836599548658,wavg
4,1,0.937091363585672,0.957316736924063,65.845721740097,5.40972695756027,0.706668722446122,0.819277689571827,177.340969855699,9.04694245554924,46.9243373235067,avg
4,1,0.937348800421149,0.957550919076028,65.5413333787201,5.39756455533637,0.706404927207446,0.819134484495431,177.45205710378,9.05047500444269,46.9243373235067,wavg
19,1,0.926280675578766,0.948936636221818,72.4534872263365,5.91527112079822,0.8158563696255,0.882344679837022,195.475502993588,9.63455627145004,43.2307969490687,avg
19,1,0.926557618320087,0.949143298734554,72.20061549179,5.90510205338728,0.816067972941161,0.882578344983422,195.256332632052,9.62874530241383,43.2307969490687,wavg
7,1,0.917525485815607,0.940596598147511,82.2764424775239,6.15680771512493,0.829398196523382,0.857002348600754,198.134256185606,9.91527273845673,46.9901638627052,avg
