repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
4,4,7,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,173.944571541695,80.700317800045
4,4,8,19|3|4|13|14|9|11|9|4|5|5|19|6|17|4|14|6|11|15,0,75,72,TRUE,0.360011231555183,0.142914634299653,0.245827114478215,174.041777442271,80.700317800045
4,4,9,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,175.306018809006,80.700317800045
4,4,10,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,176.182153191115,80.700317800045
14,4,1,20|7|20|15|15|8|10|4|14|7|14|13|15|4|6|4|15|19|5,2,46,69,FALSE,0.240639036640164,0.368175585379481,0.106760426799617,164.513589579908,79.1874372323354
14,4,2,16|7|20|10|5|12|5|3|19|7|7|8|18|7|3|8|15|20|2,2,25,72,FALSE,0.209810959727166,0.277979772721603,0.221772144260428,168.767241069805,79.1874372323354
14,4,3,19|19|20|9|19|18|10|7|15|14|4|16|8|6|6|13|19|19|17,2,52,68,FALSE,0.238913388258067,0.488501319173287,0.203789280969667,170.860718333195,79.1874372323354
14,4,4,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,171.184104037951,79.1874372323354
14,4,5,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,171.935271567516,79.1874372323354
14,4,6,19|2|20|11|15|17|10|14|4|10|9|3|17|4|12|15|20|19|17,2,56,65,FALSE,0.202988089616739,0.384926424202877,0.218570745242339,173.100067564281,79.1874372323354
14,4,7,19|13|8|6|8|11|15|4|5|8|20|13|18|10|2|4|3|20|17,2,45,62,FALSE,0.372358861877756,0.29880401238953,0.266332933570731,173.964688576449,79.1874372323354
14,4,8,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,174.780321607022,79.1874372323354
14,4,9,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,174.952152657641,79.1874372323354
14,4,10,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,177.289256986234,79.1874372323354
10,4,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,148.496671371542,88.0330192327499
10,4,2,20|3|18|11|16|5|14|11|4|18|20|10|14|13|3|20|11|9|20,0,73,62,TRUE,0.268253875368829,0.111214030850113,0.395250296179965,149.742907631236,88.0330192327499
10,4,3,18|7|20|4|10|8|8|12|18|12|9|17|6|19|5|13|11|15|15,0,58,61,TRUE,0.183949727689672,0.162090043330809,0.251533980846083,151.113080378202,88.0330192327499
10,4,4,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,152.662006470516,88.0330192327499
10,4,5,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,154.755820446911,88.0330192327499
10,4,6,19|20|16|7|14|15|17|12|5|3|4|18|15|5|4|6|15|4|15,0,68,57,TRUE,0.17710111351339,0.37563314573849,0.395918588663608,154.774745695418,88.0330192327499
10,4,7,10|17|18|13|4|20|12|11|17|8|20|11|18|20|4|20|11|2|5,2,75,79,TRUE,0.243129209877672,0.210768646582997,0.191817601940308,155.246229940855,88.0330192327499
10,4,8,19|11|16|4|12|8|14|15|4|10|7|19|7|17|4|7|18|2|16,0,72,56,TRUE,0.206559803693275,0.275864072483904,0.226997665043687,155.258250010137,88.0330192327499
10,4,9,3|10|15|13|16|10|2|17|8|5|12|20|15|17|18|11|16|3|20,2,62,62,TRUE,0.380629835255408,0.242629761022265,0.421083442850683,156.290444261149,88.0330192327499
10,4,10,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,158.035235466672,88.0330192327499
19,4,1,15|15|5|16|4|8|13|7|20|2|11|14|17|4|11|2|16|14|5,2,49,76,TRUE,0.207958478883882,0.232409767424469,0.458093892115876,162.320882504936,86.4967017014821
19,4,2,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,171.918777725281,86.4967017014821
