repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins
1,1,0.818152653175531,0.884404362458387,158.300169605386,9.15145026387687,0.883723000884783,0.932323699500876,87.8574539406253,7.42605175447588,0.0875844995180766
1,2,0.822394608528794,0.886058586687823,154.694023024722,8.98544223103656,0.772084572058412,0.874060795550103,172.028096224766,10.3660126715691,0.0725346644719442
1,3,0.811872824426933,0.876719866098229,167.464701948142,9.40545108999295,0.858483514868264,0.912920510998653,82.9960209498329,7.17910063076892,0.0710816184679667
1,4,0.817398004571929,0.881630684879801,154.907376873093,8.8278541303079,0.805642400044369,0.837221331408884,188.763617021676,10.6746379016427,0.068550984064738
1,5,0.812452087771403,0.877016078711253,164.583938891405,9.23213640646454,0.834382648017837,0.91108121678908,113.819502008393,8.47445796268512,0.0992889483769735
1,6,0.814371926265193,0.879230339074179,150.707242970133,8.81750499814682,0.842086248350653,0.84370187531567,246.758112801655,10.7800458263184,0.0877061168352763
1,7,0.824967069708005,0.889320795223132,143.045250330478,8.44753695048877,0.772421299033014,0.81134404503623,284.773668864897,12.9198043734222,0.0786900838216146
1,8,0.828101975294422,0.891094223776065,149.679668471104,8.94591424091153,0.679649455268223,0.782795155890578,225.107525493135,9.63290065289709,0.0731451988220215
1,9,0.812476407239229,0.877162331110269,165.426999981846,9.25882151551225,0.833113330675467,0.896935937472253,107.199128843822,7.48640680043596,0.0894808332125346
1,10,0.824633232923315,0.887895062103723,146.942747622456,8.77537333076252,0.748911596589383,0.829863461611809,253.107913765403,10.7131981351651,0.0710230827331543
2,1,0.816923703393872,0.881107459566168,161.005125563902,9.21496650430487,0.820526634283475,0.900839596988901,122.341657971156,8.21881133821438,0.0977427840232849
2,2,0.825084319538561,0.887980709521974,151.338145578732,8.85328794599461,0.741785578012888,0.851195177029257,205.925157351797,10.5633479256333,0.0713334997495016
2,3,0.814036535110485,0.879926637018355,150.536104113735,8.84682098054024,0.856764519423705,0.872948461940798,221.438466454664,10.1480841469157,0.0889882365862529
2,4,0.816358538225363,0.880945837548117,157.403636668689,8.94547623120036,0.799936953154856,0.871408219655978,170.26960368085,9.51210290505767,0.0969863971074422
2,5,0.814900814657132,0.879637644067797,163.596192799841,9.29367688840785,0.872672308511067,0.921344777585259,90.5043055196096,7.66323825307584,0.0756312688191732
2,6,0.815725585999708,0.880535023819581,156.559254577967,9.03637076121127,0.807856284614526,0.86729276512467,179.9231811521,9.1805086688615,0.0863214691480001
2,7,0.820838252644633,0.884105053488575,149.955466309293,8.73181954799903,0.78723192277985,0.808938484534081,244.081598724524,11.3051795924092,0.0842728972434998
2,8,0.810971915427187,0.875197594708067,168.849779722409,9.30992384288836,0.823196085625626,0.892119960092283,93.0744605858341,7.56792092557172,0.0812036832173665
2,9,0.820580949714508,0.884035730706072,155.972253004195,8.92651804415534,0.764436133447974,0.85696853834952,175.096100224178,10.0686399295006,0.0961823503176371
2,10,0.815228954439323,0.880785906677301,154.267864554255,8.99894826053421,0.813021479558132,0.869007114363635,197.272842250008,9.33854451739091,0.0796193838119507
3,1,0.82292589266953,0.885710254101861,158.729398995049,9.03544710178708,0.745388382535069,0.849689214390434,141.478460726122,9.38736916492301,0.0884824991226196
3,2,0.813326163026953,0.878341094083936,157.630051661658,8.93958611491074,0.83301315011272,0.897617672233681,159.136107522048,9.48790872706178,0.0940258502960205
3,3,0.817992051750238,0.883576041349812,156.120335717925,8.92583430030146,0.819546222274486,0.884230136879369,154.473853546959,9.67190437242757,0.0849440018335978
3,4,0.81593179352397,0.879611478931479,155.468109646665,8.92915218264151,0.787434322390031,0.842823928632272,209.336349073315,10.4254721415544,0.0791062196095784
3,5,0.812296334175013,0.877793339099173,165.504228805054,9.29259535562419,0.849753424496571,0.912989129588131,83.8112662262779,7.17820536411111,0.0920598149299622
3,6,0.817775304678701,0.881824642489489,156.623677381686,9.07301976437749,0.789884637119553,0.874480173828529,173.738685019844,9.39239045498554,0.0732715169588725
3,7,0.813661083955116,0.878979617691987,152.563584882139,8.96678375401214,0.828703706659068,0.842055189682674,238.872684633399,10.400441148946,0.0733143846193949
3,8,0.828747449242996,0.892265862575984,142.91042621465,8.58938963379865,0.772213155092502,0.841458093932963,252.174474906313,11.0999150847421,0.0645257512728373
3,9,0.822533707096682,0.886987480151163,154.491979823188,8.99574326009705,0.756881351509425,0.83982859771217,174.573010332443,9.15180408072058,0.0765529990196228
3,10,0.826055589692204,0.890460211088711,151.279220607296,8.99678869319894,0.776599493442325,0.862420161665755,166.713005248717,9.2409928373685,0.0942773660024007
4,1,0.826081405531785,0.888799487652756,154.126034873855,8.93169458565402,0.727076885122562,0.838480449321031,168.169399067801,9.35755033252296,0.0910304188728333
