repetition,cviter,trial,num.layers,units1,units2,units3,mse.test.mean,time.in.mins
6,1,1,1,64,40,64,207.908330324457,23.774261033535
6,1,2,1,64,64,64,208.054697042608,23.774261033535
6,1,3,1,64,37,8,208.383326727495,23.774261033535
6,1,4,1,61,55,11,212.015425174822,23.774261033535
6,1,5,1,59,41,53,212.294586243078,23.774261033535
6,1,6,1,43,30,64,212.784855773604,23.774261033535
6,1,7,1,35,49,64,213.662643830876,23.774261033535
6,1,8,1,64,8,64,215.825476194175,23.774261033535
6,1,9,2,39,56,64,223.850211426525,23.774261033535
6,1,10,3,64,64,64,225.411018602228,23.774261033535
10,1,1,1,47,64,40,216.80368074569,26.0072927832603
10,1,2,1,47,64,64,217.319511543993,26.0072927832603
10,1,3,1,64,8,8,217.42306372252,26.0072927832603
10,1,4,1,64,64,64,220.367386437108,26.0072927832603
10,1,5,1,64,8,64,220.840932543815,26.0072927832603
10,1,6,1,59,41,53,222.083712460988,26.0072927832603
10,1,7,1,64,23,40,222.343078128035,26.0072927832603
10,1,8,1,42,47,64,224.346567478996,26.0072927832603
10,1,9,1,61,55,11,227.801970608559,26.0072927832603
10,1,10,2,9,54,64,232.864193345439,26.0072927832603
2,1,1,1,35,52,64,219.772925934728,26.8594001332919
2,1,2,1,46,63,64,221.41936645079,26.8594001332919
2,1,3,1,64,64,64,223.865255669237,26.8594001332919
2,1,4,1,61,55,11,224.553106353391,26.8594001332919
2,1,5,1,44,37,64,225.535740711928,26.8594001332919
2,1,6,1,64,31,8,225.607730037453,26.8594001332919
2,1,7,1,59,41,53,227.928142726678,26.8594001332919
2,1,8,2,40,61,64,229.99998249225,26.8594001332919
2,1,9,3,64,64,64,232.373662866465,26.8594001332919
2,1,10,1,50,55,40,238.486258987694,26.8594001332919
20,1,1,1,64,8,8,206.742328588613,25.8251449028651
20,1,2,1,47,32,64,212.047685512607,25.8251449028651
20,1,3,1,51,15,64,212.386543084094,25.8251449028651
20,1,4,1,64,30,8,215.432399590281,25.8251449028651
20,1,5,1,37,36,64,215.598510779012,25.8251449028651
20,1,6,1,64,33,32,217.281091550309,25.8251449028651
20,1,7,1,61,55,11,217.725004825958,25.8251449028651
20,1,8,1,59,41,53,221.578712661627,25.8251449028651
20,1,9,2,38,59,64,226.878115365876,25.8251449028651
20,1,10,2,9,54,64,229.518191891727,25.8251449028651
12,1,1,1,36,64,56,205.296962217371,28.5410460035006
12,1,2,1,64,64,44,206.057087884945,28.5410460035006
12,1,3,1,64,64,8,208.482759477318,28.5410460035006
12,1,4,1,37,48,64,208.820270128472,28.5410460035006
12,1,5,1,61,55,11,210.345031574023,28.5410460035006
12,1,6,1,43,64,64,211.756441770706,28.5410460035006
12,1,7,1,48,64,42,213.154960126384,28.5410460035006
12,1,8,1,64,64,64,214.962921010653,28.5410460035006
12,1,9,1,59,41,53,218.865366524269,28.5410460035006
12,1,10,2,38,55,64,223.743153208874,28.5410460035006
8,1,1,1,64,33,8,212.242576558978,29.0024029135704
8,1,2,1,64,8,64,212.693153122392,29.0024029135704
8,1,3,1,64,8,8,213.111106442367,29.0024029135704
8,1,4,1,64,16,32,215.214519163552,29.0024029135704
8,1,5,1,41,61,64,217.187697673165,29.0024029135704
8,1,6,1,59,41,53,217.615114079403,29.0024029135704
8,1,7,1,64,64,64,218.28439059949,29.0024029135704
8,1,8,1,61,55,11,218.563404036858,29.0024029135704
8,1,9,1,41,37,64,221.3538869574,29.0024029135704
8,1,10,2,39,56,64,222.60958721895,29.0024029135704
14,1,1,1,64,42,33,208.296141644735,30.4899131337802
14,1,2,1,37,52,64,211.753936710722,30.4899131337802
14,1,3,1,45,64,64,211.768876227258,30.4899131337802
14,1,4,1,64,56,37,212.115778926528,30.4899131337802
14,1,5,1,64,64,64,213.203338588068,30.4899131337802
14,1,6,1,64,8,8,214.924089158158,30.4899131337802
14,1,7,1,61,55,11,216.051672234333,30.4899131337802
14,1,8,1,51,64,38,219.190985529909,30.4899131337802
14,1,9,1,59,41,53,220.278426982339,30.4899131337802
14,1,10,2,9,54,64,229.494317818942,30.4899131337802
13,1,1,1,64,64,33,203.486962775781,30.9794893344243
13,1,2,1,49,64,40,203.637263381101,30.9794893344243
13,1,3,1,64,64,8,204.258763709444,30.9794893344243
13,1,4,1,61,55,11,206.180036595084,30.9794893344243
13,1,5,1,39,64,64,206.69720387462,30.9794893344243
13,1,6,1,64,42,28,206.811894223628,30.9794893344243
13,1,7,1,64,8,32,210.353157301391,30.9794893344243
13,1,8,2,36,57,64,216.250154416342,30.9794893344243
13,1,9,2,64,64,64,217.141600465777,30.9794893344243
13,1,10,2,9,54,64,220.380365652342,30.9794893344243
17,1,1,1,53,27,64,202.740500268855,31.4141636649768
17,1,2,1,42,34,64,205.936400774098,31.4141636649768
17,1,3,1,64,34,30,206.180580343083,31.4141636649768
17,1,4,1,64,33,8,206.197457007834,31.4141636649768
17,1,5,1,64,33,64,207.747572551438,31.4141636649768
17,1,6,1,64,8,64,209.497458052941,31.4141636649768
17,1,7,1,59,41,53,210.101451961208,31.4141636649768
17,1,8,1,61,55,11,210.41578465687,31.4141636649768
17,1,9,2,39,54,64,218.598307000847,31.4141636649768
17,1,10,3,64,64,64,222.853010516831,31.4141636649768
19,1,1,1,8,57,64,199.752931100157,32.9049926519394
19,1,2,1,64,42,28,201.116826306372,32.9049926519394
19,1,3,1,35,37,64,201.675554687296,32.9049926519394
19,1,4,1,64,33,8,201.938898245072,32.9049926519394
19,1,5,1,36,55,64,202.754579988031,32.9049926519394
19,1,6,1,64,45,8,202.757614611762,32.9049926519394
19,1,7,1,64,8,64,204.651824618099,32.9049926519394
19,1,8,1,61,55,11,206.916224460678,32.9049926519394
19,1,9,1,59,41,53,209.275614768464,32.9049926519394
19,1,10,2,9,54,64,215.088476920873,32.9049926519394
7,1,1,1,51,64,38,200.783427075781,34.422122100989
7,1,2,1,64,8,64,201.588030866217,34.422122100989
7,1,3,1,38,56,64,202.119993345065,34.422122100989
7,1,4,1,64,64,32,205.608019222669,34.422122100989
7,1,5,1,64,64,64,205.994097709957,34.422122100989
7,1,6,1,52,64,64,206.409059401709,34.422122100989
7,1,7,1,59,41,53,211.364727705219,34.422122100989
7,1,8,1,61,55,11,212.364364952488,34.422122100989
7,1,9,2,40,55,64,224.014380961305,34.422122100989
7,1,10,3,64,64,64,225.311083832102,34.422122100989
15,1,1,1,64,44,64,206.503931223939,34.0752021153768
15,1,2,1,64,8,64,206.988015207613,34.0752021153768
15,1,3,1,34,37,64,207.407272735821,34.0752021153768
15,1,4,1,64,43,30,207.613807654393,34.0752021153768
15,1,5,1,64,34,8,208.436831485625,34.0752021153768
15,1,6,1,64,27,58,210.297682498489,34.0752021153768
15,1,7,1,37,54,64,211.179847682609,34.0752021153768
15,1,8,1,61,55,11,213.341949254419,34.0752021153768
15,1,9,1,59,41,53,216.692017846471,34.0752021153768
15,1,10,2,38,55,64,228.142806341692,34.0752021153768
4,1,1,1,64,34,32,203.77935365633,35.7446855982145
4,1,2,1,64,8,8,204.719713566085,35.7446855982145
4,1,3,1,64,37,8,204.727209806889,35.7446855982145
4,1,4,2,64,8,64,209.274054044839,35.7446855982145
4,1,5,2,64,48,64,209.719595847795,35.7446855982145
4,1,6,1,61,55,11,210.989684243111,35.7446855982145
4,1,7,1,59,41,53,214.515198900595,35.7446855982145
4,1,8,1,58,9,37,216.362368789903,35.7446855982145
4,1,9,1,49,54,38,222.407853558093,35.7446855982145
4,1,10,2,9,54,64,226.789546427891,35.7446855982145
3,1,1,1,52,64,37,214.302899694842,39.0914858977
3,1,2,1,64,64,64,215.174998379005,39.0914858977
3,1,3,1,55,64,64,215.52328507083,39.0914858977
3,1,4,1,64,52,33,215.860952537404,39.0914858977
3,1,5,1,61,55,11,216.324479206582,39.0914858977
3,1,6,1,62,64,32,216.785340545518,39.0914858977
3,1,7,1,64,64,8,217.815008998121,39.0914858977
3,1,8,1,39,53,64,219.66292123622,39.0914858977
3,1,9,2,38,57,64,224.106325650516,39.0914858977
3,1,10,1,59,41,53,224.253911180697,39.0914858977
1,1,1,1,52,64,40,217.09408859556,40.7985687176387
1,1,2,1,39,64,64,218.794631879552,40.7985687176387
1,1,3,1,64,8,64,218.809891115493,40.7985687176387
1,1,4,1,45,49,64,219.71169581755,40.7985687176387
1,1,5,1,64,64,34,220.767243124533,40.7985687176387
1,1,6,1,50,64,64,223.564362377586,40.7985687176387
1,1,7,1,64,64,64,224.124808653368,40.7985687176387
1,1,8,1,61,55,11,224.551976175648,40.7985687176387
1,1,9,1,59,41,53,228.343187922277,40.7985687176387
1,1,10,2,9,54,64,235.375650567551,40.7985687176387
5,1,1,1,64,58,46,210.266870737332,41.1814400672913
5,1,2,1,8,64,64,210.689804682397,41.1814400672913
5,1,3,1,50,64,37,213.7643205458,41.1814400672913
5,1,4,1,61,55,11,213.919271522702,41.1814400672913
5,1,5,1,38,54,64,214.934854161829,41.1814400672913
5,1,6,1,64,42,32,216.576435758862,41.1814400672913
5,1,7,3,64,64,64,222.03825494404,41.1814400672913
5,1,8,1,59,41,53,223.604232308904,41.1814400672913
5,1,9,2,9,54,64,225.180233861627,41.1814400672913
