repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins
14,3,0.832283033556698,0.901788439086741,141.91677983503,8.77865102398387,0.833156225013945,0.903444218810048,137.82107436348,8.74199618696579,0.66076401869456
15,3,0.833413511404098,0.902576176258968,140.976439636513,8.76056928081975,0.82333308090145,0.89774041869438,145.888597874623,8.8862804211517,0.661336398124695
16,3,0.831642827789547,0.901367078449302,142.145162396625,8.78917356020978,0.838385792751512,0.90518134342048,136.200162578915,8.62231859871109,0.658390601476034
17,3,0.832060647195064,0.901688718584008,141.961481192237,8.79472934637344,0.835826251676232,0.90403754227047,136.913771836677,8.60885997486058,0.658710598945618
18,3,0.833434811816406,0.902596914518189,141.258144512976,8.77551130158478,0.823136773061448,0.898327164087631,143.363996750297,8.80658497233756,0.659439969062805
11,4,0.831997274231489,0.901628349111553,141.280142328854,8.76064953084015,0.835421206719248,0.902095272453294,143.771327093458,8.85278230088879,0.658940768241882
19,3,0.832685330260119,0.902079044977602,141.223607623758,8.77283793650734,0.829880257027165,0.900762829251714,143.772006401215,8.76030081267617,0.659695748488108
12,4,0.832308221755165,0.901840968974163,141.428944084702,8.76524941216375,0.83342078668627,0.90095843073347,141.912784461806,8.83426737155804,0.662025300661723
13,4,0.832494876893813,0.901930647419744,142.132961080991,8.79873527638003,0.830486626877093,0.902958994526004,136.366697333389,8.60566124771507,0.65845156510671
20,3,0.831764829820329,0.901423678598205,141.143556997437,8.74845250083688,0.835615465265678,0.902036890960209,146.609418793037,8.93690774821724,0.658024179935455
14,4,0.833079855431794,0.902368490421337,141.399588304894,8.76088125641547,0.826429747318638,0.897698766768616,142.027671918991,8.91228466364308,0.6641148686409
15,4,0.832487860523728,0.901942343387617,140.758473624999,8.74950441795714,0.831927808129887,0.900330467576232,147.995690160335,8.89118889925767,0.661183381080627
16,4,0.832182473044351,0.901759639784838,142.164993627858,8.78696196030958,0.833966714135238,0.903729085547193,135.738488367593,8.7077720423011,0.659872583548228
17,4,0.832735340048139,0.902144871059826,141.357566060244,8.76352582220693,0.830395366898414,0.901897586344888,141.862084232489,8.93271398676376,0.663034065564473
18,4,0.832746879045054,0.902151632295047,141.450899824869,8.77604728789454,0.829720080042184,0.900923143237293,141.42182307602,8.7923593274662,0.662356551488241
11,5,0.832206240619986,0.901789244467211,141.329875901887,8.76946908192412,0.83422134055531,0.902333324068321,142.794399365391,8.82448223979211,0.657346002260844
19,4,0.832354642036254,0.901876216708293,141.27054547021,8.76061603483778,0.833138310468659,0.902596386791674,143.121194929309,8.86435576483176,0.663563080628713
12,5,0.833130466946503,0.902352266510268,141.098435187652,8.7675285300347,0.824203253703563,0.898161439513787,146.15603097534,8.83741486335,0.663230315844218
13,5,0.83235615711907,0.901890821548922,141.668688496066,8.77752195650032,0.833534441044982,0.902523877957352,139.166024685541,8.7511257078771,0.665676101048787
20,4,0.832068230794819,0.90168694793301,141.645933518837,8.78610350029905,0.835608556603864,0.902978203518567,139.879939685838,8.66036681913333,0.663058702150981
14,5,0.832416550108495,0.901843125246994,141.203887116493,8.76460094894579,0.829794649435937,0.899491399382531,145.880468488046,8.8673696605507,0.661993634700775
15,5,0.832582907859466,0.902019156376096,140.989807120408,8.75417597977605,0.830554926691222,0.900174528615767,146.11332952106,8.9475737737289,0.662068382898967
16,5,0.832716686702501,0.902133946009255,141.393301596779,8.77594316720242,0.829904487272167,0.900435697950047,141.99610840867,8.72800921010933,0.661882285277049
17,5,0.832681277454948,0.902036516736076,141.213947708379,8.76528772088679,0.828622967857109,0.897667702710376,144.957151047822,8.83976833705115,0.656804235776265
18,5,0.831859350726034,0.901527633711895,141.56870937346,8.77787104124232,0.836797542774373,0.90337882229407,141.039106186824,8.75530719174556,0.668180596828461
11,6,0.832758652813081,0.902122106784652,141.518188507419,8.78387909781249,0.828816162275823,0.900859588011061,141.388078384957,8.70918584900098,0.664153532187144
12,6,0.832634726076351,0.902027665902938,141.533466454371,8.77756440244383,0.829958850212262,0.902633986695145,141.445278448212,8.73907013998538,0.661998867988586
19,5,0.832170136340073,0.901714892999618,141.430153896706,8.77138488904759,0.832639911644691,0.902501807472464,143.354076275298,8.80642831573294,0.661899018287659
13,6,0.832771154952,0.902156381000531,141.456718980373,8.77574931984674,0.82863326472937,0.899937644661205,141.987376935097,8.80426914723771,0.666612700621287
20,5,0.832864479687026,0.902230897631415,141.4161480879,8.76589891636973,0.828503725320686,0.900289308961484,141.820299886017,8.88538392224307,0.663036402066549
14,6,0.833060273493526,0.902346359508677,140.931746997271,8.76012610013359,0.826093468725967,0.89868807885056,146.725576160761,8.92358606729232,0.663818848133087
